contest,caption,funny_votes,unfunny_votes,votes,category,has_question_mark,ends_with_punctuation,caption_length,model
513,It's not as if it's really heavy. It just makes management look like we work!,0,5,5,Top 5 Unfunny,False,True,77,Human
513,Big case today.,3,1,4,Top 5 Funny,False,True,15,Human
513,This is my first triple-murder-case.,0,5,5,Top 5 Unfunny,False,True,36,Human
513,These tandem briefcases sure make being an accountant fun!,0,5,5,Top 5 Unfunny,False,True,58,Human
513,"Is it too late now to say sorry? 'Cause I'm missing more than just your body, oh.",0,5,5,Top 5 Unfunny,True,True,81,Human
513,This looks like it's going to be a long drawn-out case.,3,1,4,Top 5 Funny,False,True,55,Human
513,I thought he was a no good snake.,0,5,5,Top 5 Unfunny,False,True,33,Human
514,"Sheriff, I feel like we're just going through the motions here.",36,50,172,Top 5 Funny,False,True,63,Human
514,We're losing them! They're gaining on us! We're losing them! They're gaining on us!,40,53,140,Top 5 Unfunny,False,True,83,Human
514,"No, you grow up",53,64,186,Top 5 Funny,False,False,15,Human
514,We're losing them! They're gaining on us! We're losing them! They're gaining on us!,40,53,140,Top 5 Funny,False,True,83,Human
514,Head for the carousel! It's our only chance!,36,55,132,Top 5 Funny,False,True,44,Human
514,"I'm never going back to timeout, ya hear!?",33,56,124,Top 5 Funny,True,True,42,Human
514,"No, you grow up",53,64,186,Top 5 Unfunny,False,False,15,Human
514,"I'm never going back to timeout, ya hear!?",33,56,124,Top 5 Unfunny,True,True,42,Human
514,Head for the carousel! It's our only chance!,36,55,132,Top 5 Unfunny,False,True,44,Human
514,"Sheriff, I feel like we're just going through the motions here.",36,50,172,Top 5 Unfunny,False,True,63,Human
515,You're my last patient of the day.,3,1,5,Top 5 Funny,False,True,34,Human
515,"Well, it appears our time is up.",3,1,6,Top 5 Funny,False,True,32,Human
515,I see that our time is up.,3,2,6,Top 5 Funny,False,True,26,Human
515,I have this recurring dream of a train with wheels on only one side.,0,6,6,Top 5 Unfunny,False,True,68,Human
515,We need to think about a better retirement plan.,0,6,6,Top 5 Unfunny,False,True,48,Human
515,Remember the time we had to jump off a trestle and only suffered a broken nose.,0,6,6,Top 5 Unfunny,False,True,79,Human
515,I can see our time is up.,3,1,5,Top 5 Funny,False,True,25,Human
515,Who says NFL players have a problem with foreseeable consequences?,0,6,6,Top 5 Unfunny,True,True,66,Human
515,"I am growing inured to planes, trains, and automobiles.",0,6,6,Top 5 Unfunny,False,True,55,Human
515,I'm afraid we're out of time.,4,0,6,Top 5 Funny,False,True,29,Human
516,If I am lying then let God strike me dead!,3,0,4,Top 5 Funny,False,True,42,Human
516,"On second thought, don't buy. Sell.",0,5,5,Top 5 Unfunny,False,True,35,Human
516,Do you think I need to post a new Tinder photo?,0,5,5,Top 5 Unfunny,True,True,47,Human
516,You know that artificial sweetener will kill ya.,3,0,4,Top 5 Funny,False,True,48,Human
516,I'm told the coffee here is to die for.,3,0,4,Top 5 Funny,False,True,39,Human
516,"Joe, do you understand the gravity of the situation?",3,0,4,Top 5 Funny,True,True,52,Human
516,How many lumps did you say you wanted again?,4,1,5,Top 5 Funny,True,True,44,Human
516,What I especially like about this place is how chockablock it is with surprises.,0,5,5,Top 5 Unfunny,False,True,80,Human
516,"Well, we meet for coffee to discuss my career path.",0,5,5,Top 5 Unfunny,False,True,51,Human
516,Looks like you picked the wrong day to quit drinking coffee!,0,5,5,Top 5 Unfunny,False,True,60,Human
517,We will maintain that this is a case of mistaken identity.,0,4,4,Top 5 Unfunny,False,True,58,Human
517,You should probably consider actually letting this jury live.,0,4,4,Top 5 Unfunny,False,True,61,Human
517,There's a reason that this is a hoodie-free zone Tyrone.,0,4,4,Top 5 Unfunny,False,True,56,Human
517,They got you on intent.,0,4,4,Top 5 Unfunny,False,True,23,Human
517,"Don't worry. If they don't dismiss the class-action after these hearings, we're simply going to ask for some class members to appear in person.",0,4,4,Top 5 Unfunny,False,True,143,Human
517,"It looks grim, no doubt about it.",3,1,4,Top 5 Funny,False,True,33,Human
517,"Yes, I'm all for the death penalty, but this is traffic court.",3,0,4,Top 5 Funny,False,True,62,Human
517,We're unable to find a jury of your peers.,3,0,4,Top 5 Funny,False,True,42,Human
517,Good news: you may get life.,3,0,4,Top 5 Funny,False,True,28,Human
517,Jury of your peers? Ah... I don't think so.,3,0,4,Top 5 Funny,True,True,43,Human
518,It's tough to see an old actor like Hanks trying to recapture his Glory days.,0,29,30,Top 5 Unfunny,False,True,77,Human
518,You have nothing to lose.,0,29,30,Top 5 Unfunny,False,True,25,Human
518,I told you they were too big to have come from a cat.,8,15,28,Top 5 Funny,False,True,53,Human
518,He thinks he's Lawrence of Suburbia.,8,17,29,Top 5 Funny,False,True,36,Human
518,Isn't this the same guy who got shipwrecked in our wading pool?,8,16,27,Top 5 Funny,True,True,63,Human
518,Wait until see his impression of the Great Pyramid of Giza,0,29,30,Top 5 Unfunny,False,False,58,Human
518,He must have run out of modeling clay.,0,29,30,Top 5 Unfunny,False,True,38,Human
518,He needs to start drinking outside the box.,8,12,27,Top 5 Funny,False,True,43,Human
518,Let's live with Mom.,9,13,28,Top 5 Funny,False,True,20,Human
518,"Mr. Sandman, your hardwood floor specialist at it again",0,30,30,Top 5 Unfunny,False,False,55,Human
519,If he hadn't lost his camel he would have made it by now,0,23,23,Top 5 Unfunny,False,False,56,Human
519,We might be empty nesters sooner than we thought.,8,6,20,Top 5 Funny,False,True,49,Human
519,This may be his final tweet.,8,7,19,Top 5 Funny,False,True,28,Human
519,She always insists on riding shotgun.,8,10,21,Top 5 Funny,False,True,37,Human
519,"I think we're safe, it's Dick Cheney.",8,10,23,Top 5 Funny,False,True,37,Human
519,The bird on a gun is worth two birds on a limb!,0,23,23,Top 5 Unfunny,False,True,47,Human
519,"whistle while you work, indeed.",0,23,23,Top 5 Unfunny,False,True,31,Human
519,He's obviously prey. Let's eat him.,0,23,23,Top 5 Unfunny,False,True,35,Human
519,"Same decoy as last year. Honestly, I don't known why he bothers.",8,8,21,Top 5 Funny,False,True,64,Human
519,What's up with all the kids doing 'slack gun' these days?,0,23,23,Top 5 Unfunny,True,True,57,Human
520,It's normal to feel empty after a split.,228,272,785,Top 5 Unfunny,False,True,40,Human
520,"I have to ask, do you feel that you could be a danger to others?",235,190,744,Top 5 Unfunny,True,True,64,Human
520,Would you feel more comfortable on the floor ?,137,173,491,Top 5 Unfunny,True,True,46,Human
520,You say you've been feeling empty since the split?,83,140,320,Top 5 Unfunny,True,True,50,Human
520,"Now that you've opened up, let's talk about what's eating you.",738,631,2227,Top 5 Unfunny,False,True,62,Human
520,You say you've been feeling empty since the split?,83,140,320,Top 5 Funny,True,True,50,Human
520,It's normal to feel empty after a split.,228,272,785,Top 5 Funny,False,True,40,Human
520,"I have to ask, do you feel that you could be a danger to others?",235,190,744,Top 5 Funny,True,True,64,Human
520,"Now that you've opened up, let's talk about what's eating you.",738,631,2227,Top 5 Funny,False,True,62,Human
520,Would you feel more comfortable on the floor ?,137,173,491,Top 5 Funny,True,True,46,Human
521,I'm in the Wetness Protection Program.,89,156,370,Top 5 Unfunny,False,True,38,Human
521,I doubled my contribution to PBS.,67,134,309,Top 5 Unfunny,False,True,33,Human
521,"Well, I thought your mother was joining us...",171,259,654,Top 5 Unfunny,False,True,45,Human
521,Go and check if it's still raining. I'll wait here.,540,514,1936,Top 5 Unfunny,False,True,51,Human
521,I doubled my contribution to PBS.,67,134,309,Top 5 Funny,False,True,33,Human
521,I'm in the Wetness Protection Program.,89,156,370,Top 5 Funny,False,True,38,Human
521,I thought your mother was joining us.,134,209,486,Top 5 Funny,False,True,37,Human
521,"Well, I thought your mother was joining us...",171,259,654,Top 5 Funny,False,True,45,Human
521,Go and check if it's still raining. I'll wait here.,540,514,1936,Top 5 Funny,False,True,51,Human
521,I thought your mother was joining us.,134,209,486,Top 5 Unfunny,False,True,37,Human
522,Have you tried turning it off and back on again?,1008,1439,4197,Top 5 Funny,True,True,48,Human
522,"Yes sir, a martini for you and a screwdriver for the monster.",542,1040,2445,Top 5 Funny,False,True,61,Human
522,"Yes, my license says I'm an organ donor....why do you ask?",247,606,1386,Top 5 Unfunny,True,True,58,Human
522,"Do you still need a hand, Sir?",295,646,1445,Top 5 Funny,True,True,30,Human
522,the mrs. requests you come upstairs and try creating life the old fashioned way,255,577,1229,Top 5 Funny,False,False,79,Human
522,"Yes, my license says I'm an organ donor....why do you ask?",247,606,1386,Top 5 Funny,True,True,58,Human
522,the mrs. requests you come upstairs and try creating life the old fashioned way,255,577,1229,Top 5 Unfunny,False,False,79,Human
522,"Yes sir, a martini for you and a screwdriver for the monster.",542,1040,2445,Top 5 Unfunny,False,True,61,Human
522,"Do you still need a hand, Sir?",295,646,1445,Top 5 Unfunny,True,True,30,Human
522,Have you tried turning it off and back on again?,1008,1439,4197,Top 5 Unfunny,True,True,48,Human
523,I think I ordered from the wrong Amazon.,157,273,610,Top 5 Funny,False,True,40,Human
523,Can we have one argument without you bringing up the monkeys?,112,234,487,Top 5 Funny,True,True,61,Human
523,You ordered from the wrong Amazon.,602,848,2260,Top 5 Unfunny,False,True,34,Human
523,Then maybe you should just tell me what you want for your birthday instead of saying you don't care.,216,374,871,Top 5 Unfunny,False,True,100,Human
523,I think I ordered from the wrong Amazon.,157,273,610,Top 5 Unfunny,False,True,40,Human
523,Then maybe you should just tell me what you want for your birthday instead of saying you don't care.,216,374,871,Top 5 Funny,False,True,100,Human
523,I don't mind the monkey see as much as the monkey doo.,124,263,594,Top 5 Unfunny,False,True,54,Human
523,I'll tell you what could be more fun--a barrel of wine.,111,238,521,Top 5 Unfunny,False,True,55,Human
523,You ordered from the wrong Amazon.,602,848,2260,Top 5 Funny,False,True,34,Human
523,I don't mind the monkey see as much as the monkey doo.,124,263,594,Top 5 Funny,False,True,54,Human
524,Did your momma tell you there would be knights like this?,37,124,230,Top 5 Unfunny,True,True,57,Human
524,"Take the picture, dammit, take the picture!",83,174,360,Top 5 Funny,False,True,43,Human
524,This seems to be a case of reptile dysfunction.,44,121,227,Top 5 Unfunny,False,True,47,Human
524,Are you licensed to carry small arms?,49,147,288,Top 5 Unfunny,True,True,37,Human
524,Harry has his usual dream before his mother-in-law's visit.,49,152,282,Top 5 Unfunny,False,True,59,Human
524,"Take the picture, dammit, take the picture!",83,174,360,Top 5 Unfunny,False,True,43,Human
524,Don't give me that endangered species crap!,41,119,223,Top 5 Funny,False,True,43,Human
524,This seems to be a case of reptile dysfunction.,44,121,227,Top 5 Funny,False,True,47,Human
524,Harry has his usual dream before his mother-in-law's visit.,49,152,282,Top 5 Funny,False,True,59,Human
524,Are you licensed to carry small arms?,49,147,288,Top 5 Funny,True,True,37,Human
526,Remember all those times you said I was wrong?,26,75,128,Top 5 Unfunny,True,True,46,Human
526,Hey! My eyes are down here.,45,81,173,Top 5 Unfunny,False,True,27,Human
526,It was autocorrected to 'hula.',39,82,141,Top 5 Unfunny,False,False,31,Human
526,"I don't mean to sing my praises, but ...",11,141,169,Top 5 Unfunny,False,True,40,Human
526,"Excuse me, Miss, my eyes are down here.",34,69,147,Top 5 Funny,False,True,39,Human
526,My eyes are down here.,38,77,148,Top 5 Funny,False,True,22,Human
526,It was autocorrected to 'hula.',39,82,141,Top 5 Funny,False,False,31,Human
526,"It autocorrected to ""hula"".",39,73,143,Top 5 Funny,False,True,27,Human
526,Hey! My eyes are down here.,45,81,173,Top 5 Funny,False,True,27,Human
526,My eyes are down here.,38,77,148,Top 5 Unfunny,False,True,22,Human
527,Your cows speak highly of you.,30,76,136,Top 5 Unfunny,False,True,30,Human
527,We have observed you in the barn. So many questions.,34,73,133,Top 5 Funny,False,True,52,Human
527,"Greetings, and let go of my penis.",36,81,136,Top 5 Unfunny,False,True,34,Human
527,"Well, I never believed in you either.",39,82,154,Top 5 Unfunny,False,True,37,Human
527,"Greetings, and let go of my penis.",36,81,136,Top 5 Funny,False,True,34,Human
527,"Well, your profile pic doesn't look much like you either.",39,80,175,Top 5 Unfunny,False,True,57,Human
527,"Well, I never believed in you either.",39,82,154,Top 5 Funny,False,True,37,Human
527,"Well, your profile pic doesn't look much like you either.",39,80,175,Top 5 Funny,False,True,57,Human
527,"Welcome aboard! First stop, Uranus.",30,76,131,Top 5 Unfunny,False,True,35,Human
527,"You voted ‘Leave,’ didn’t you?",38,74,150,Top 5 Funny,True,True,30,Human
528,Welcome to Weight Watchers!,10,25,42,Top 5 Funny,False,True,27,Human
528,This meeting is getting away from me.,8,22,37,Top 5 Funny,False,True,37,Human
528,I am entertaining a motion to evacuate. Do I hear a second?,7,23,42,Top 5 Funny,True,True,59,Human
528,The captain assures me it was a very small iceberg.,7,23,39,Top 5 Funny,False,True,51,Human
528,I don't think you understand the gravity of the situation.,7,24,39,Top 5 Funny,False,True,58,Human
528,Welcome to Weight Watchers!,10,25,42,Top 5 Unfunny,False,True,27,Human
528,I don't think you understand the gravity of the situation.,7,24,39,Top 5 Unfunny,False,True,58,Human
528,"So, then -- all in favor of removing the wheels from our chairs, say 'aye.'d",6,24,35,Top 5 Unfunny,False,False,76,Human
528,Red rover red rover send Sandi on over,6,24,34,Top 5 Unfunny,False,False,38,Human
528,"Well, maybe now you will appreciate the gravity of the situation.",7,24,39,Top 5 Unfunny,False,True,65,Human
529,Because it's not there.,35,67,126,Top 5 Unfunny,False,True,23,Human
529,Of course I understand the gravity of the situation.,48,70,173,Top 5 Funny,False,True,52,Human
529,It's easy once you realize there's nothing to it.,43,69,166,Top 5 Funny,False,True,49,Human
529,There's really nothing to it.,36,64,156,Top 5 Funny,False,True,29,Human
529,"See, there's nothing to it.",35,67,144,Top 5 Unfunny,False,True,27,Human
529,"See, there's nothing to it.",35,67,144,Top 5 Funny,False,True,27,Human
529,Because it's not there.,35,67,126,Top 5 Funny,False,True,23,Human
529,Of course I understand the gravity of the situation.,48,70,173,Top 5 Unfunny,False,True,52,Human
529,It's easy once you realize there's nothing to it.,43,69,166,Top 5 Unfunny,False,True,49,Human
529,I'm suspended by disbelief.,34,68,152,Top 5 Unfunny,False,True,27,Human
530,May I suggest that we dispense with today's reading of the royal horoscope?,24,99,172,Top 5 Unfunny,True,True,75,Human
530,Your overhead is going to kill you.,66,114,273,Top 5 Funny,False,True,35,Human
530,The consensus of your wise men is: move the chair.,46,99,228,Top 5 Funny,False,True,50,Human
530,And the king lived happily severed after.,37,90,191,Top 5 Funny,False,True,41,Human
530,While I have your undivided attention...,37,95,180,Top 5 Funny,False,True,40,Human
530,"According to the doctor, your longevity would improve dramatically if you'd get off the throne and walk more.",36,88,220,Top 5 Funny,False,True,109,Human
530,Your overhead is going to kill you.,66,114,273,Top 5 Unfunny,False,True,35,Human
530,The consensus of your wise men is: move the chair.,46,99,228,Top 5 Unfunny,False,True,50,Human
530,While I have your undivided attention...,37,95,180,Top 5 Unfunny,False,True,40,Human
530,"Yes, your majesty. So far we have 'Live by the sword'. Is there any more to it?",36,94,191,Top 5 Unfunny,True,True,79,Human
531,Sorry I'm late. I hit every traffic light coming home.,2192,1285,5246,Top 5 Funny,False,True,54,Human
531,Let's stay in tonight. It's a zoo out there.,862,564,1721,Top 5 Funny,False,True,44,Human
531,"If he's elected, we're going to have a tough time proving we weren't born in Africa.",309,461,1077,Top 5 Funny,False,True,84,Human
531,"I wasn't impressed with the ark on the outside, but this is nice.",278,430,1050,Top 5 Funny,False,True,65,Human
531,"Yes, it's hot. But a ceiling fan will only make things worse.",277,429,1054,Top 5 Funny,False,True,61,Human
531,Sorry I'm late. I hit every traffic light coming home.,2192,1285,5246,Top 5 Unfunny,False,True,54,Human
531,Let's stay in tonight. It's a zoo out there.,862,564,1721,Top 5 Unfunny,False,True,44,Human
531,"If he's elected, we're going to have a tough time proving we weren't born in Africa.",309,461,1077,Top 5 Unfunny,False,True,84,Human
531,"I wasn't impressed with the ark on the outside, but this is nice.",278,430,1050,Top 5 Unfunny,False,True,65,Human
531,"Yes, it's hot. But a ceiling fan will only make things worse.",277,429,1054,Top 5 Unfunny,False,True,61,Human
532,"Sorry, totally thought I could jump it.",47,209,328,Top 5 Unfunny,False,True,39,Human
532,"Yeah, well your profile wasn't exactly honest either.",65,250,444,Top 5 Unfunny,False,True,53,Human
532,Sorry...I was texting.,81,268,456,Top 5 Unfunny,False,True,22,Human
532,They were never going to find you anyway,82,272,477,Top 5 Unfunny,False,False,40,Human
532,Who's endangered now?,130,348,686,Top 5 Unfunny,True,True,21,Human
532,"I ain't heavy, I'm your blubber.",49,208,315,Top 5 Funny,False,True,32,Human
532,"Yeah, well your profile wasn't exactly honest either.",65,250,444,Top 5 Funny,False,True,53,Human
532,Sorry...I was texting.,81,268,456,Top 5 Funny,False,True,22,Human
532,They were never going to find you anyway,82,272,477,Top 5 Funny,False,False,40,Human
532,Who's endangered now?,130,348,686,Top 5 Funny,True,True,21,Human
533,"Sorry for the wait, but it's been like Grand Central Station in here.",63,126,270,Top 5 Unfunny,False,True,69,Human
533,Before this I was a bus-boy.,65,128,267,Top 5 Unfunny,False,True,28,Human
533,Our chef trained at the Paris Metro.,69,130,292,Top 5 Unfunny,False,True,36,Human
533,"The restroom is located just behind you, sir.",67,131,253,Top 5 Unfunny,False,True,45,Human
533,"If you see something, say something.",193,226,491,Top 5 Unfunny,False,True,36,Human
533,"Sorry for the wait, but it's been like Grand Central Station in here.",63,126,270,Top 5 Funny,False,True,69,Human
533,Before this I was a bus-boy.,65,128,267,Top 5 Funny,False,True,28,Human
533,"The restroom is located just behind you, sir.",67,131,253,Top 5 Funny,False,True,45,Human
533,Our chef trained at the Paris Metro.,69,130,292,Top 5 Funny,False,True,36,Human
533,"If you see something, say something.",193,226,491,Top 5 Funny,False,True,36,Human
534,Anywhere but Eve's office.,142,246,530,Top 5 Funny,False,True,26,Human
534,It's a pet of the one-armed guy 9 back who is carrying it to the shredder.,114,219,348,Top 5 Funny,False,True,74,Human
534,Speak softly and carry a big fish.,100,206,384,Top 5 Funny,False,True,34,Human
534,"Looks like Sammy wins the ""bring your pet to work"" contest. He ate all of the other entries!",191,293,607,Top 5 Unfunny,False,True,92,Human
534,Anywhere but Eve's office.,142,246,530,Top 5 Unfunny,False,True,26,Human
534,We're searching for rats that escaped from the subway's Track 23 dining room kitchen.,129,235,400,Top 5 Unfunny,False,True,85,Human
534,It's a pet of the one-armed guy 9 back who is carrying it to the shredder.,114,219,348,Top 5 Unfunny,False,True,74,Human
534,Speak softly and carry a big fish.,100,206,384,Top 5 Unfunny,False,True,34,Human
534,We're searching for rats that escaped from the subway's Track 23 dining room kitchen.,129,235,400,Top 5 Funny,False,True,85,Human
534,"Looks like Sammy wins the ""bring your pet to work"" contest. He ate all of the other entries!",191,293,607,Top 5 Funny,False,True,92,Human
535,"Yes, I love him. I'll always love him. I'm just saying I still think the hospital switched him at birth.",129,207,437,Top 5 Unfunny,False,True,104,Human
535,Of course I knew I was marrying a mermaid. I just didn't expect to live with my mother-in-law too.,156,228,512,Top 5 Unfunny,False,True,98,Human
535,"I'll bet that last restaurant will never have ""All You Can Eat Shrimp"" on their lunch menu again.",151,228,448,Top 5 Unfunny,False,True,97,Human
535,You and your surfaris.,573,552,1171,Top 5 Funny,False,True,22,Human
535,I just couldn't 'catch and release because who would've believed such a whale of a tale?,191,261,539,Top 5 Funny,True,True,88,Human
535,Of course I knew I was marrying a mermaid. I just didn't expect to live with my mother-in-law too.,156,228,512,Top 5 Funny,False,True,98,Human
535,"I'll bet that last restaurant will never have ""All You Can Eat Shrimp"" on their lunch menu again.",151,228,448,Top 5 Funny,False,True,97,Human
535,"Yes, I love him. I'll always love him. I'm just saying I still think the hospital switched him at birth.",129,207,437,Top 5 Funny,False,True,104,Human
535,You and your surfaris.,573,552,1171,Top 5 Unfunny,False,True,22,Human
535,I just couldn't 'catch and release because who would've believed such a whale of a tale?,191,261,539,Top 5 Unfunny,True,True,88,Human
536,Sometimes a dipstick is just a dipstick.,1512,827,2614,Top 5 Funny,False,True,40,Human
536,"The impotence, that feeling of being out of control when you find yourself parallel parking against your will, probably started when you were being assembled.",98,145,261,Top 5 Funny,False,True,158,Human
536,I'd like to see you again in two thousand miles.,59,108,247,Top 5 Funny,False,True,48,Human
536,"I'm afraid we're out of time, but I'd like to see you again in 5,000 miles …",45,98,202,Top 5 Funny,False,False,76,Human
536,"The impotence, that feeling of being out of control when you find yourself parallel parking against your will, probably started when you were being assembled.",98,145,261,Top 5 Unfunny,False,True,158,Human
536,Sometimes a dipstick is just a dipstick.,1512,827,2614,Top 5 Unfunny,False,True,40,Human
536,I'd like to see you again in two thousand miles.,59,108,247,Top 5 Unfunny,False,True,48,Human
536,So you're no longer attending your AAA meetings?,44,99,191,Top 5 Unfunny,True,True,48,Human
536,And are the clowns inside you now?,45,99,181,Top 5 Unfunny,True,True,34,Human
536,And are the clowns inside you now?,45,99,181,Top 5 Funny,True,True,34,Human
537,He told me that the patent expired.,160,345,640,Top 5 Funny,False,True,35,Human
537,He says the guy with the original idea never took out a patent!,195,387,711,Top 5 Funny,False,True,63,Human
537,He said the patent expired,300,505,990,Top 5 Funny,False,False,26,Human
537,He is making a life preserver for my Mother.,163,352,692,Top 5 Funny,False,True,44,Human
537,I hope he discovers fire soon. Dinner is at six.,145,334,692,Top 5 Funny,False,True,48,Human
537,I hope he discovers fire soon. Dinner is at six.,145,334,692,Top 5 Unfunny,False,True,48,Human
537,He says the guy with the original idea never took out a patent!,195,387,711,Top 5 Unfunny,False,True,63,Human
537,He is making a life preserver for my Mother.,163,352,692,Top 5 Unfunny,False,True,44,Human
537,He told me that the patent expired.,160,345,640,Top 5 Unfunny,False,True,35,Human
537,He said the patent expired,300,505,990,Top 5 Unfunny,False,False,26,Human
538,"First of all, I'd like to apologize for the whole laser light thing.",223,447,999,Top 5 Unfunny,False,True,68,Human
538,I'm not a big cat person.,545,600,1731,Top 5 Funny,False,True,25,Human
538,Think it over. I'm still the only one here who can use a can opener.,488,566,1685,Top 5 Funny,False,True,68,Human
538,"I may be a little prick, but at least I'm not a giant pussy.",233,452,910,Top 5 Funny,False,True,60,Human
538,"In my defense, the neutering was a requirement of the condo board.",231,460,1069,Top 5 Funny,False,True,66,Human
538,"First of all, I'd like to apologize for the whole laser light thing.",223,447,999,Top 5 Funny,False,True,68,Human
538,I'm not a big cat person.,545,600,1731,Top 5 Unfunny,False,True,25,Human
538,Think it over. I'm still the only one here who can use a can opener.,488,566,1685,Top 5 Unfunny,False,True,68,Human
538,"In my defense, the neutering was a requirement of the condo board.",231,460,1069,Top 5 Unfunny,False,True,66,Human
538,"I may be a little prick, but at least I'm not a giant pussy.",233,452,910,Top 5 Unfunny,False,True,60,Human
539,"Thank God. For a moment there, I thought he was going to jump!",95,246,463,Top 5 Funny,False,True,62,Human
539,He doesn't seem to appreciate the gravity of his situation.,89,238,440,Top 5 Unfunny,False,True,59,Human
539,"Wait, the GPS is recalculating",136,291,681,Top 5 Funny,False,False,30,Human
539,Now THAT'S the road less traveled!,117,280,646,Top 5 Funny,False,True,34,Human
539,He doesn't seem to appreciate the gravity of his situation.,89,238,440,Top 5 Funny,False,True,59,Human
539,I don't think he realizes the gravity of the situation.,176,326,746,Top 5 Unfunny,False,True,55,Human
539,"Wait, the GPS is recalculating",136,291,681,Top 5 Unfunny,False,False,30,Human
539,Now THAT'S the road less traveled!,117,280,646,Top 5 Unfunny,False,True,34,Human
539,"Thank God. For a moment there, I thought he was going to jump!",95,246,463,Top 5 Unfunny,False,True,62,Human
539,I don't think he realizes the gravity of the situation.,176,326,746,Top 5 Funny,False,True,55,Human
540,"It's safe to say, it's not your heart this time.",3,122,133,Top 5 Unfunny,False,True,48,Human
540,When was your last dial movement?,18,50,91,Top 5 Funny,True,True,33,Human
540,Maybe I can get the safe open if I listen to it.,0,130,131,Top 5 Unfunny,False,True,48,Human
540,"If I was a younger man I'de ask you out on a date."" ""Shush, I'm trying to listen."" ""If I was handsome like a movie star, maybe then?"" ""It's only what's inside you that counts."" Said the Doc sympathetically. ""Gold Digger."" ""You're imposable.",0,133,135,Top 5 Unfunny,True,True,240,Human
540,Are you having night deposits? Suspicious withdrawals?,21,68,116,Top 5 Funny,True,True,54,Human
540,I will need to see the family jewels at some point.,21,56,94,Top 5 Funny,False,True,51,Human
540,"Well, frankly, I think it's a combination of things...",22,63,108,Top 5 Funny,False,True,54,Human
540,"I know a specialist, but he's in prison.",25,61,114,Top 5 Funny,False,True,40,Human
540,have a heart and let me open this thing,1,128,133,Top 5 Unfunny,False,False,39,Human
540,My brother has a rent-stabilized safe deposit box on 19th St. Perhaps you could go in together on a Dumpster?,3,122,129,Top 5 Unfunny,True,True,109,Human
541,He's in the kitchen washing the toaster.,120,236,460,Top 5 Unfunny,False,True,40,Human
541,"No, I get it. I just think it's a little insulting that he sends an intern.",119,236,537,Top 5 Unfunny,False,True,75,Human
