contest,model,caption,has_question_mark,ends_with_punctuation,caption_length
694_Dashboard,Claude,"""At first I was wondering why my cloud storage was so low, but then I realized I left my head in the clouds again.""",FALSE,FALSE,115
785_Dashboard,Claude,"Saddle up, boys - it's almost closing time at the saloon and we've got a long ride ahead to the next watering hole.",FALSE,TRUE,115
737_Dashboard,Claude,"""As you can see from this quarter's growth projections, our beanstalk-based business model is really taking off.""",FALSE,FALSE,113
613_Dashboard,Claude,"""Truth is, I'm not even a real doctor. This is all an elaborate ruse to get out of returning your socket wrench.""",FALSE,FALSE,113
778_Dashboard,Claude,"""Our newest exhibit displays a whimsical deconstruction of avian symbolism in postmodern corporate hierarchies.""",FALSE,FALSE,112
671_Dashboard,Claude,"The tribe quickly realized their woolly ancestors had neglected to pass down the whole ""opposable thumbs"" thing.",FALSE,TRUE,112
794_Dashboard,Claude,"""I appreciate your enthusiasm, but I'm pretty sure this isn't what they meant by 'take your kids to work day.'""",FALSE,FALSE,111
844_Dashboard,Claude,"""This new vintage is full-bodied, with subtle undertones of medical waste and a lingering formaldehyde finish.""",FALSE,FALSE,111
881_Dashboard,Claude,"""Sorry, we're all out of the limited edition Stonehenge playset. How about a pair of safety scissors instead?""",TRUE,FALSE,110
579_Dashboard,Claude,"""I told you this was a bad idea, but did you listen? No, you just had to play Operation with a real patient.""",TRUE,FALSE,109
761_Dashboard,Claude,"""You call those muffins? Back in my day, we had to forage for our own berries and grind the flour ourselves!""",TRUE,FALSE,109
841_Dashboard,Claude,"""As you can see, our lab rats have clearly demonstrated a remarkable aptitude for navigating complex mazes.""",FALSE,FALSE,108
609_Dashboard,Claude,"""We've ordered the usual, but this time make it gluten-free, lactose-free, and devoid of all hope and joy.""",FALSE,FALSE,107
727_Dashboard,Claude,"""Next on tonight's agenda: Unlocking the secrets of the universe. But first, let's take a quick nap break.""",FALSE,FALSE,107
817_Dashboard,Claude,"""Ah, the great outdoors! Where man can escape the daily grind and reconnect with his inner lost boy scout.""",FALSE,FALSE,107
825_Dashboard,Claude,"The Executive Pumpkin Spice Committee hears your concerns, but assures the change is still on track for Q4.",FALSE,TRUE,107
676_Dashboard,Claude,"""You call this a cave? In my day, we had to excavate our own shelters with nothing but sticks and rocks!""",TRUE,FALSE,105
867_Dashboard,Claude,"""I'm telling you, Bob, it's a numbers game. Just play the field and you'll eventually find your tree.""",FALSE,FALSE,102
568_Dashboard,Claude,"""All these years and I never noticed the fine print - unlimited refills only valid while on premises.""",FALSE,FALSE,102
701_Dashboard,Claude,"""I'm sorry, the position has been filled. We went with a candidate who had more hands-on experience.""",FALSE,FALSE,101
583_Dashboard,Claude,"When the bank said they were offering ""low interest rates"", this wasn't quite what Frank had in mind.",FALSE,TRUE,101
633_Dashboard,Claude,"""Who designed these slides, Escher? I'm having trouble getting to the bottom of this presentation.""",TRUE,FALSE,99
578_Dashboard,Claude,"""I'm telling you, the service here is terrible. We've been waiting an eternity for our appetizers!""",FALSE,FALSE,99
693_Dashboard,Claude,"""So, as you can see, the new open office plan has really streamlined our research lab operations.""",FALSE,FALSE,98
591_Dashboard,Claude,"""Honey, forget the shower - I think we have a much more pressing plumbing issue to address here.""",FALSE,FALSE,97
549_Dashboard,Claude,"""I'm sorry, but your request to approve 500 new hires has been denied due to budget constraints.""",FALSE,FALSE,97
803_Dashboard,Claude,"""Let me explain our new 'Compact Commuter' model - perfect for navigating crowded parking lots!""",FALSE,FALSE,96
845_Dashboard,Claude,"""In my defense, your honor, those 'abstract art' comments were taken completely out of context.""",FALSE,FALSE,96
879_Dashboard,Claude,"""Whoa, I never asked to be made the poster boy for our ski resort's latest marketing campaign!""",FALSE,FALSE,95
684_Dashboard,Claude,"""I apologize, but the staff meeting has been delayed due to unforeseen dino-mite difficulties.""",FALSE,FALSE,95
807_Dashboard,Claude,"""According to my calculations, the odds of solving world hunger are approximately 3,720 to 1.""",FALSE,FALSE,94
698_Dashboard,Claude,"""Your Majesty, could we move the throne room to the first floor? These stairs are killing me!""",TRUE,FALSE,94
610_Dashboard,Claude,"""I never said the soup wasn't hot enough, Pierre, I said this relationship was getting cold.""",FALSE,FALSE,93
732_Dashboard,Claude,"""I know it's been a rough day, but please try to pay attention. This is important testimony.""",FALSE,FALSE,93
736_Dashboard,Claude,"Look, I know you said it was my turn to wear the propeller beanie, but I'm pulling rank here.",FALSE,TRUE,93
721_Dashboard,Claude,"""My princess is in another castle. I think there's a plumber coming to save her soon though.""",FALSE,FALSE,93
860_Dashboard,Claude,"""On second thought, maybe we should upgrade to the deluxe beach umbrella package next time.""",FALSE,FALSE,92
517_Dashboard,Claude,"""I'm afraid your application has been denied - we only accept bribes in hardcover editions.""",FALSE,FALSE,92
767_Dashboard,Claude,"""Sure, I'll explain orbital mechanics over dinner, but first, check out this sick wheelie!""",FALSE,FALSE,91
541_Dashboard,Claude,"""I told you to use the other sword, Billy! That one's for whacking bushes, not practicing!""",FALSE,FALSE,91
553_Dashboard,Claude,"""Looks like another property tax increase. I told you we should've built on higher ground!""",FALSE,FALSE,91
815_Dashboard,Claude,"""As you can see, our new tomato additives greatly enhance conversation and social bonding.""",FALSE,FALSE,91
637_Dashboard,Claude,"""I told you raking the forest was a bad idea, but did you listen? No, and now look at us!""",TRUE,FALSE,90
516_Dashboard,Claude,"""When the boss said there was an opening above us, this wasn't quite what I had in mind.""",FALSE,FALSE,89
650_Dashboard,Claude,"""Despite the ominous atmosphere, Timmy was determined to keep his new pet safe and cozy.""",FALSE,FALSE,89
595_Dashboard,Claude,"""And this, class, is how we build an impressive book fort to avoid our assigned reading.""",FALSE,FALSE,89
842_Dashboard,Claude,"Just smile and roll your bags, kids. The Overlook Hotel's not that bad this time of year.",FALSE,TRUE,89
623_Dashboard,Claude,Roosevelt Kite Park: Where dreams take flight and old-timers get tangled up in red tape.,FALSE,TRUE,88
742_Dashboard,Claude,"""And this is where we keep the good stuff - the really abstract expressionist barbecue.""",FALSE,FALSE,88
852_Dashboard,Claude,"Two frogs sat on their lily pads, pondering the meaning of life over a piping hot pizza.",FALSE,TRUE,88
655_Dashboard,Claude,"""In a world divided, two brave podiums dared to share the stage and speak their truth.""",FALSE,FALSE,87
645_Dashboard,Claude,"""I know the house is a bit unusual, but wait until you see the open floor plan inside!""",FALSE,FALSE,87
880_Dashboard,Claude,"""Honey, what did I say about working on your physics homework during therapy sessions?""",TRUE,FALSE,87
834_Dashboard,Claude,"""I'm telling you, Frank, this coffee tastes like it was brewed in a parallel universe!""",FALSE,FALSE,87
716_Dashboard,Claude,"""I knew we should have been more specific when asking for a chandelier made of chains.""",FALSE,FALSE,87
810_Dashboard,Claude,"""I know it's unconventional, but I'm pretty sure this still counts as six feet apart.""",FALSE,FALSE,86
729_Dashboard,Claude,"The King lay in state, wondering when his subjects would arrive to pay their respects.",FALSE,TRUE,86
653_Dashboard,Claude,"""I swear, if you ask me what my third favorite nitrogen compound is one more time...""",FALSE,FALSE,85
542_Dashboard,Claude,"""This may be our biggest project yet, but I have full confidence we can pull it off.""",FALSE,FALSE,85
555_Dashboard,Claude,"""Honey, I thought you said we were swimming with the fishes, not sleeping with them.""",FALSE,FALSE,85
705_Dashboard,Claude,"""So much for being the 'Sundance Kid'... More like the 'Expresso Kid' at this point.""",FALSE,FALSE,85
636_Dashboard,Claude,"""After years of lobbying, the grim reapers finally got their high-rise with a view.""",FALSE,FALSE,84
723_Dashboard,Claude,"""And for my next number, I'll need a volunteer from the audience to play the kazoo!""",FALSE,FALSE,84
882_Dashboard,Claude,"Howdy pardner, this town ain't big enough for the two of us... or our gigantic hats!",FALSE,TRUE,84
603_Dashboard,Claude,"""I'm telling you, these ice fishing shanties are getting more luxurious every year!""",FALSE,FALSE,84
691_Dashboard,Claude,"""When we said we wanted to Netflix and chill, this wasn't quite what I had in mind.""",FALSE,FALSE,84
771_Dashboard,Claude,"""Talk about a packed waiting room...this couch rental app is really going downhill.""",FALSE,FALSE,84
678_Dashboard,Claude,"""Gerald's giraffe costume took 'stuck your neck out' a bit too literally this year.""",FALSE,FALSE,84
630_Dashboard,Claude,"""We've updated our privacy policy. You no longer have the right to remain silent.""",FALSE,FALSE,82
874_Dashboard,Claude,"""I swear, if I find one more crop circle in the back yard, we are moving to Mars.""",FALSE,FALSE,82
784_Dashboard,Claude,"""I thought I was hungry, but it turns out I just had an appetite for destruction.""",FALSE,FALSE,82
847_Dashboard,Claude,"""And for my next trick, I'll make everyone's annual performance review disappear!""",FALSE,FALSE,82
511_Dashboard,Claude,"""Just a few more steps and we'll have you shoveled out in no time, Mr. Snickleby!""",FALSE,FALSE,82
652_Dashboard,Claude,"""We'll take the all-inclusive package, but hold the pineapple rings and cherries.""",FALSE,FALSE,82
567_Dashboard,Claude,"""I appreciate the raise, but next time could we discuss it during business hours?""",TRUE,FALSE,82
559_Dashboard,Claude,"""Ahoy matey, walk the plank again! The captain ordered sea legs practice all day.""",FALSE,FALSE,82
891_Dashboard,Claude,"""After seeing your scouting report, we've decided to take our chances with a ground ball.""",FALSE,FALSE,82
873_Dashboard,Claude,"""I appreciate the referral, but perhaps we should discuss my anger issues first.""",FALSE,FALSE,81
657_Dashboard,Claude,"""In hindsight, the 'Bring Your Own Skis' policy may have been a bit too literal.""",FALSE,FALSE,81
586_Dashboard,Claude,"""We spared no expense on the hose, but the budget was tight for everything else.""",FALSE,FALSE,81
527_Dashboard,Claude,"""In hindsight, taking that left turn at Alpha Centauri may have been a bad idea.""",FALSE,FALSE,81
805_Dashboard,Claude,"""Honey, I think we need to have the monster in the closet talk with Billy again.""",FALSE,FALSE,81
619_Dashboard,Claude,"""It's the Sword of Damocles 2.0 - now with USB compatibility and cloud syncing.""",FALSE,FALSE,80
668_Dashboard,Claude,"""Of course you don't understand, Gerald. It's not a blueprint, it's modern art.""",FALSE,FALSE,80
644_Dashboard,Claude,"""I have a sinking feeling this isn't the open house we were looking for, dear.""",FALSE,FALSE,79
863_Dashboard,Claude,"""I know you wanted a standing desk, but this may be taking it a bit too far...""",FALSE,FALSE,79
523_Dashboard,Claude,"""Well, this is awkward. I told my wife I was working late at the office again.""",FALSE,FALSE,79
592_Dashboard,Claude,"""As you can see, we've streamlined our online course offerings this semester.""",FALSE,FALSE,78
883_Dashboard,Claude,"""On second thought, maybe adopting those stray tigers wasn't the best idea...""",FALSE,FALSE,78
734_Dashboard,Claude,"All tied up in the shower again, Fred? We really need to get you a bigger tub!",TRUE,TRUE,78
620_Dashboard,Claude,"When it rains, it pours... especially when you throw the whole planet at them.",FALSE,TRUE,78
774_Dashboard,Claude,"""If you ask me, this whole 'climate change' thing is just a bunch of hot air.""",FALSE,FALSE,78
753_Dashboard,Claude,"""I'm telling you, this is the last time I buy anything from Acme Corporation!""",FALSE,FALSE,78
611_Dashboard,Claude,"""I'm telling you, these gentrified birdhouses are really getting out of hand.""",FALSE,FALSE,78
564_Dashboard,Claude,"""Excuse me, ma'am, but your owl collection appears to be getting out of hand.""",FALSE,FALSE,78
894_Dashboard,Claude,"""They call it 'performance art,' but I call it 'appropriation of our culture.'""",FALSE,FALSE,78
669_Dashboard,Claude,"""Honey, I think the baby monitor is picking up signals from next door again.""",FALSE,FALSE,77
660_Dashboard,Claude,"""Your Majesty, with all due respect, that's not how you play musical chairs.""",FALSE,FALSE,77
661_Dashboard,Claude,"""Wait, when did we all start skating? I thought this was a royal procession!""",TRUE,FALSE,77
545_Dashboard,Claude,"""Before we begin, would everyone please turn off their mind-reading devices.""",FALSE,FALSE,77
827_Dashboard,Claude,"""I appreciate the lift, but next time let's spring for business class seats.""",FALSE,FALSE,77
861_Dashboard,Claude,"""On second thought, maybe real croquet wasn't such a great idea after all...""",FALSE,FALSE,77
806_Dashboard,Claude,"""I told you we should have brought a taller ladder to storm this sandcastle.""",FALSE,FALSE,77
877_Dashboard,Claude,"""So then I said, 'You think that's bad? Wait until you see the group chat!'""",TRUE,FALSE,76
783_Dashboard,Claude,"""When my brain cloud has a silver lining, I try to look on the bright side.""",FALSE,FALSE,76
749_Dashboard,Claude,"""I told you bringing your pet rabbit to the office was a bad idea, Johnson.""",FALSE,FALSE,76
875_Dashboard,Claude,"""I told you those briefcases would fly off the shelves this holiday season.""",FALSE,FALSE,76
584_Dashboard,Claude,"""I just don't see eye-to-eye with management on their new hiring practices.""",FALSE,FALSE,76
745_Dashboard,Claude,"""When I told you to put the dragon in a high-rise, this isn't what I meant.""",FALSE,FALSE,76
765_Dashboard,Claude,"""I know it's a deserted island, but would it kill you to put on some pants?""",TRUE,FALSE,76
809_Dashboard,Claude,"When the foreclosure hit, Bob had to quickly downsize his dream home plans.",FALSE,TRUE,75
656_Dashboard,Claude,"""I've been meaning to ax you about some new furniture for the living room.""",FALSE,FALSE,75
659_Dashboard,Claude,"""I know the food processor was your idea, but this is getting out of hand.""",FALSE,FALSE,75
569_Dashboard,Claude,"""Looks like Steve is auditioning for the new office mascot position again.""",FALSE,FALSE,75
629_Dashboard,Claude,My belay partner was right - this new climbing gym really is a bit sketchy.,FALSE,TRUE,75
594_Dashboard,Claude,"""I told you we should have raked the leaves before they started piling up.""",FALSE,FALSE,75
618_Dashboard,Claude,"""I told you the new hire would bring some unique perspectives to the team.""",FALSE,FALSE,75
512_Dashboard,Claude,"""Aw shucks, Susan, you're just saying that 'cause my abs are made of oak.""",FALSE,FALSE,74
708_Dashboard,Claude,"Caption: ""I specifically requested the non-toxic version this time, Carl.""",FALSE,FALSE,74
634_Dashboard,Claude,"""You know, I've heard of a bird's-eye view, but this is just ridiculous!""",FALSE,FALSE,73
833_Dashboard,Claude,"""I wouldn't touch that door if I were you. Every hinge is booby-trapped.""",FALSE,FALSE,73
733_Dashboard,Claude,"""I told you we should have gone with cashmere instead of wool this year.""",FALSE,FALSE,73
530_Dashboard,Claude,"""She still hasn't left her throne after ordering everything from Amazon.""",FALSE,FALSE,73
782_Dashboard,Claude,"""If you really want to blend in at the office, try the vertical stripes.""",FALSE,FALSE,73
724_Dashboard,Claude,"""Meet the author at 2 P.M. - Masks required (for everyone's protection)""",FALSE,FALSE,72
823_Dashboard,Claude,"""I'm telling you, the passengers are getting more demanding by the day!""",FALSE,FALSE,72
617_Dashboard,Claude,"""And for my next trick, I'll make this soul-crushing commute disappear!""",FALSE,FALSE,72
853_Dashboard,Claude,"""On the bright side, the fish will be pre-seasoned when I reel them in.""",FALSE,FALSE,72
792_Dashboard,Claude,"""I told you we shouldn't have booked Beethoven to play our beach party.""",FALSE,FALSE,72
602_Dashboard,Claude,"""I'm afraid your health insurance doesn't cover exorcisms, Mr. Johnson.""",FALSE,FALSE,72
563_Dashboard,Claude,"""I know I said I wanted to feel like a hamster, but this is ridiculous!""",FALSE,FALSE,72
643_Dashboard,Claude,"""And for my next concerto, I'll need a pair of 16-ounce boxing gloves.""",FALSE,FALSE,71
797_Dashboard,Claude,"""I appreciate the sentiment, but what I really need is a chiropractor.""",FALSE,FALSE,71
849_Dashboard,Claude,"""I said change into something more comfortable, not a centaur costume!""",FALSE,FALSE,71
528_Dashboard,Claude,"""In hindsight, the seesaw was a terrible choice for the job interview.""",FALSE,FALSE,71
808_Dashboard,Claude,"""This is the last time we take directions from those little green men.""",FALSE,FALSE,71
751_Dashboard,Claude,"""I've connected the dots, but I'm still not seeing the bigger picture.""",FALSE,FALSE,71
712_Dashboard,Claude,"""How about a game of 'Guess the Spreadsheet' to liven up this meeting?""",TRUE,FALSE,71
832_Dashboard,Claude,"*sigh* ""I'll never be able to climb the corporate ladder at this rate.""",FALSE,FALSE,71
589_Dashboard,Claude,"""And I'll have the prix fixe with a side of existential dread, please.""",FALSE,FALSE,71
587_Dashboard,Claude,"""When the zoo outsourced their crossing guard positions to marsupials.""",FALSE,FALSE,71
714_Dashboard,Claude,"""I told you we should have gotten a smaller ball for the living room.""",FALSE,FALSE,70
679_Dashboard,Claude,"""For the last time, I said prick your finger, not cactus your throne!""",FALSE,FALSE,70
663_Dashboard,Claude,"""I thought you said this was supposed to be a round table discussion!""",FALSE,FALSE,70
551_Dashboard,Claude,"""When the waves are just right, I can really shred this skyline, bro.""",FALSE,FALSE,70
722_Dashboard,Claude,"""Honey, did you remember to close the piano lid before the storm hit?""",TRUE,FALSE,70
696_Dashboard,Claude,"""So, what's your excuse for the late harvest report this time, Frank?""",TRUE,FALSE,70
804_Dashboard,Claude,"""I just don't feel you're being present in this relationship anymore.""",FALSE,FALSE,70
667_Dashboard,Claude,"""I never should have let the mice beta test my new mousetrap designs.""",FALSE,FALSE,70
840_Dashboard,Claude,"""I told you we should have splurged for the deluxe lint trap upgrade.""",FALSE,FALSE,70
529_Dashboard,Claude,"""When life gives you lemons, make lemonade... and spike it liberally.""",FALSE,FALSE,70
646_Dashboard,Claude,"Abominable Sightseeing Tours - Take in the majestic view, if you dare!",FALSE,TRUE,70
616_Dashboard,Claude,"""When I said I wanted my coffee black, this isn't what I had in mind.""",FALSE,FALSE,70
580_Dashboard,Claude,"Throne for a loop, the regal hammock was a noble but impractical idea.",FALSE,TRUE,70
889_Dashboard,Claude,"""I don't know, I was hoping they'd evolve into something with legs by now.""",FALSE,FALSE,70
822_Dashboard,Claude,"""When I said I wanted to sleep on it, this isn't what I had in mind.""",FALSE,FALSE,69
557_Dashboard,Claude,"""Darling, I believe we've found the perfect spot for our new garden.""",FALSE,FALSE,69
533_Dashboard,Claude,"""I told you we should have gone to the Star Trek convention instead.""",FALSE,FALSE,69
818_Dashboard,Claude,"""Ah, the annual Whimsical Creatures' Parade is in full swing, I see.""",FALSE,FALSE,69
758_Dashboard,Claude,"""Excuse me, does your homeowner's insurance cover existential dread?""",TRUE,FALSE,69
662_Dashboard,Claude,"""Welcome to our second round of funding - now with a bigger trellis!""",FALSE,FALSE,69
666_Dashboard,Claude,"""I told you the lip-shaped couch was a bad idea, but did you listen?""",TRUE,FALSE,69
892_Dashboard,Claude,"""I'm just here for the book review. The author really tore me apart.""",FALSE,FALSE,69
790_Dashboard,Claude,"""Aw c'mon Larry, I thought you said this was a MONSTER truck rally!""",FALSE,FALSE,68
831_Dashboard,Claude,"""Sweetheart, I thought you said you wanted me to unplug more often.""",FALSE,FALSE,68
856_Dashboard,Claude,"""I hear the new hybrid varieties are really taking off this season.""",FALSE,FALSE,68
627_Dashboard,Claude,"""I'm sorry sir, but the maître d' insists - no jacket, no service.""",FALSE,FALSE,67
710_Dashboard,Claude,"""I told you these new toupee drones were all the rage this season.""",FALSE,FALSE,67
757_Dashboard,Claude,"""I wish these clouds would stop gossiping about me behind my back.""",FALSE,FALSE,67
639_Dashboard,Claude,"""Rapunzel, Rapunzel, let down your hair... so I can file my taxes!""",FALSE,FALSE,67
820_Dashboard,Claude,"""Look, some of us are just more artistically inclined than others.""",FALSE,FALSE,67
550_Dashboard,Claude,"""I'm sorry Ms. Johnson, but your 2:30 is running a bit late today.""",FALSE,FALSE,67
649_Dashboard,Claude,"""I'm telling you, this open concept living trend has gone too far.""",FALSE,FALSE,67
869_Dashboard,Claude,"""When the new intern's plant-based diet meets the office aquarium.""",FALSE,FALSE,67
695_Dashboard,Claude,"""In my defense, you never specified what kind of toast you wanted.""",FALSE,FALSE,67
836_Dashboard,Claude,"""I want to believe, but these crop circles are udderly ridiculous.""",FALSE,FALSE,67
756_Dashboard,Claude,"""I thought you said this couch would help me blend in at parties.""",FALSE,FALSE,66
781_Dashboard,Claude,"""I call it the Trojan Cork - guaranteed to get any party started.""",FALSE,FALSE,66
614_Dashboard,Claude,"""I think there may be a slight design flaw with your piano, dear.""",FALSE,FALSE,66
625_Dashboard,Claude,"""Whenever I order takeout, they always send way too many napkins!""",FALSE,FALSE,66
675_Dashboard,Claude,"One small sip for an astronaut, one giant chug for astronaut-kind.",FALSE,TRUE,66
608_Dashboard,Claude,"""The heating bill is a bit steep, but the acoustics are heavenly.""",FALSE,FALSE,66
793_Dashboard,Claude,"""I want to speak to your manager about these subpar fish sticks.""",FALSE,FALSE,65
547_Dashboard,Claude,"""On second thought, we should have booked that Caribbean cruise.""",FALSE,FALSE,65
878_Dashboard,Claude,"""I specifically asked for a non-denominational wreath this year.""",FALSE,FALSE,65
887_Dashboard,Claude,"""I regret to inform you that your feedback loop has been approved.""",FALSE,FALSE,65
685_Dashboard,Claude,"""Honey, I told you not to touch my hive-tech startup prototype!""",FALSE,FALSE,64
776_Dashboard,Claude,Matt's Garage: Where dreams are parked and projects gather dust.,FALSE,TRUE,64
743_Dashboard,Claude,"""I spent all weekend decluttering, and this is all I have left.""",FALSE,FALSE,64
843_Dashboard,Claude,"""Honey, I think we need to talk about your palm tree obsession.""",FALSE,FALSE,64
543_Dashboard,Claude,"""I never should have agreed to that 'open-door' policy at work.""",FALSE,FALSE,64
848_Dashboard,Claude,"""Don't look now, but I think the squirrels are plotting a coup.""",FALSE,FALSE,64
585_Dashboard,Claude,"""I said decaf, not half-caf! No wonder I'm jumpy this morning.""",FALSE,FALSE,63
787_Dashboard,Claude,"""In this house, we only roast marshmallows over an open flame.""",FALSE,FALSE,63
865_Dashboard,Claude,"""I think we took that 'make a wish' thing a bit too literally.""",FALSE,FALSE,63
854_Dashboard,Claude,"""And to think, all this time I just thought the pool was cold.""",FALSE,FALSE,63
812_Dashboard,Claude,"""I told you online therapy was a bad idea, but did you listen?""",TRUE,FALSE,63
791_Dashboard,Claude,"""I said my doghouse needed more curb appeal, not curve appeal!""",FALSE,FALSE,63
658_Dashboard,Claude,"""Before we start, let's be clear - I'm not tech support, Gary.""",FALSE,FALSE,63
605_Dashboard,Claude,"""Honey, I've decided to go analog with my selfies from now on.""",FALSE,FALSE,63
544_Dashboard,Claude,"""I can't tell if our new bosses are an upgrade or a downgrade.""",FALSE,FALSE,63
621_Dashboard,Claude,"""On second thought, maybe I don't need this much protection...""",FALSE,FALSE,63
565_Dashboard,Claude,"""Well, that's the last time I order my medical degree online.""",FALSE,FALSE,62
638_Dashboard,Claude,"""Our drone delivery system still has a few kinks to work out.""",FALSE,FALSE,62
575_Dashboard,Claude,"""That's the last time I take directions from a talking horse.""",FALSE,FALSE,62
713_Dashboard,Claude,"""I told you these clown cars weren't built for suburban life.""",FALSE,FALSE,62
535_Dashboard,Claude,"""I thought you wanted directions, not directions for my life!""",FALSE,FALSE,62
531_Dashboard,Claude,"""Honey, did you order another giraffe-sized lamp from Amazon?""",TRUE,FALSE,62
866_Dashboard,Claude,"""I distinctly said 'bring me a cup of joe', not a mug of mud!""",FALSE,FALSE,62
670_Dashboard,Claude,"""I told you we should've taken that left turn at Albuquerque!""",FALSE,FALSE,62
581_Dashboard,Claude,"""I have to hand it to you, that's quite a view from up here.""",FALSE,FALSE,61
546_Dashboard,Claude,The perils of being the only vegetarian on a deserted island.,FALSE,TRUE,61
858_Dashboard,Claude,"""Perhaps we should get a scratching post for the little one.""",FALSE,FALSE,61
717_Dashboard,Claude,"""I warned you that abstract expressionism would confuse him.""",FALSE,FALSE,61
780_Dashboard,Claude,"""I told you not to leave the TPS reports lying around, Carl.""",FALSE,FALSE,61
801_Dashboard,Claude,"""I must say, your chess skills have really gone to the dogs.""",FALSE,FALSE,61
876_Dashboard,Claude,"""We have no bananas, but our frog legs are simply ribbeting!""",FALSE,FALSE,61
683_Dashboard,Claude,"""When your life goals are a bit higher than your friends'...""",FALSE,FALSE,61
665_Dashboard,Claude,"""I specifically told you to stay out of the troubled waters!""",FALSE,FALSE,61
798_Dashboard,Claude,"""I told you we should have sprung for the extended warranty.""",FALSE,FALSE,61
540_Dashboard,Claude,"""I said your consultation would be brief, not your lifespan.""",FALSE,FALSE,61
754_Dashboard,Claude,"""It's a hole new world down there, rookie. Watch your step.""",FALSE,FALSE,60
599_Dashboard,Claude,"""On second thought, maybe we should've just called an Uber.""",FALSE,FALSE,60
510_Dashboard,Claude,"""Honey, I think the kids are trying to tell us something...""",FALSE,FALSE,60
762_Dashboard,Claude,"""So, how was your first day on the hamster wheel treadmill?""",TRUE,FALSE,60
635_Dashboard,Claude,"""I knew we shouldn't have gone to that discount armor shop.""",FALSE,FALSE,60
558_Dashboard,Claude,"""I told you the crib needed a few more bars before bedtime.""",FALSE,FALSE,60
521_Dashboard,Claude,Waiting for the next rainy day? I know a great umbrella guy.,TRUE,TRUE,60
871_Dashboard,Claude,"""Eyyyy, look who's cooking now! When's dinner ready, toots?""",TRUE,FALSE,60
615_Dashboard,Claude,"""I told you fishing with a chandelier was a bad idea, Marv.""",FALSE,FALSE,60
522_Dashboard,Claude,"Wow, working from home has really gone to Mr. Tesla's head!",FALSE,TRUE,59
868_Dashboard,Claude,"""I'm afraid your policy doesn't cover ice cream headaches.""",FALSE,FALSE,59
577_Dashboard,Claude,"""Your 'tiny house' obsession is getting out of hand, Greg.""",FALSE,FALSE,59
766_Dashboard,Claude,"""Honey, I think the new Roomba might be a tad overzealous.""",FALSE,FALSE,59
626_Dashboard,Claude,Horsing around on a cloudy day can lead to some wild rides!,FALSE,TRUE,59
