contest,ai_model,ai_caption,human_caption,semantic_similarity
689,chatgpt (gpt-4o),"""I'm afraid the DMV doesn't recognize 'valor and chivalry' as valid forms of insurance.""",A Citation? Is it for bravery?,0.350725
689,chatgpt (gpt-4o),"""I'm afraid the DMV doesn't recognize 'valor and chivalry' as valid forms of insurance.""",A Citation? Is it for bravery?,0.350725
689,chatgpt (gpt-4o),"""I'm afraid the DMV doesn't recognize 'valor and chivalry' as valid forms of insurance.""",He’s lucky I didn’t rear end him.,0.101852715
689,chatgpt (gpt-4o),"""I'm afraid the DMV doesn't recognize 'valor and chivalry' as valid forms of insurance.""",I only glanced down at my phone for a second.,0.07111998
689,chatgpt (gpt-4o),"""I'm afraid the DMV doesn't recognize 'valor and chivalry' as valid forms of insurance.""",I have slayed the wagon.,0.07557364
689,chatgpt (gpt-4o),"""I'm afraid the DMV doesn't recognize 'valor and chivalry' as valid forms of insurance.""","If chivalry is dead, then why am I still holding the door?",0.27786285
689,chatgpt (gpt-4o),"""I'm afraid the DMV doesn't recognize 'valor and chivalry' as valid forms of insurance.""",I only glanced down at my phone for a second.,0.07111998
689,chatgpt (gpt-4o),"""I'm afraid the DMV doesn't recognize 'valor and chivalry' as valid forms of insurance.""",Your perps are in a three door sedan.,0.107681505
689,chatgpt (gpt-4o),"""I'm afraid the DMV doesn't recognize 'valor and chivalry' as valid forms of insurance.""","If chivalry is dead, then why am I still holding the door?",0.27786285
689,chatgpt (gpt-4o),"""I'm afraid the DMV doesn't recognize 'valor and chivalry' as valid forms of insurance.""","In my defense, I spotted the parking place first.",0.066036545
689,claude,"Knight to Queen's Rook 5... Your move, officer.",A Citation? Is it for bravery?,0.09506756
689,claude,"Knight to Queen's Rook 5... Your move, officer.",A Citation? Is it for bravery?,0.09506756
689,claude,"Knight to Queen's Rook 5... Your move, officer.",He’s lucky I didn’t rear end him.,0.15438691
689,claude,"Knight to Queen's Rook 5... Your move, officer.",I only glanced down at my phone for a second.,0.11267597
689,claude,"Knight to Queen's Rook 5... Your move, officer.",I have slayed the wagon.,0.18058264
689,claude,"Knight to Queen's Rook 5... Your move, officer.","If chivalry is dead, then why am I still holding the door?",0.21412745
689,claude,"Knight to Queen's Rook 5... Your move, officer.",I only glanced down at my phone for a second.,0.11267597
689,claude,"Knight to Queen's Rook 5... Your move, officer.",Your perps are in a three door sedan.,0.13781059
689,claude,"Knight to Queen's Rook 5... Your move, officer.","If chivalry is dead, then why am I still holding the door?",0.21412745
689,claude,"Knight to Queen's Rook 5... Your move, officer.","In my defense, I spotted the parking place first.",0.105657466
538,chatgpt (gpt-4o),"""As a tailor, Mr. Johnson learned the hard way that some projects simply required a mouse-click escape route.""","First of all, I'd like to apologize for the whole laser light thing.",0.1206098
538,chatgpt (gpt-4o),"""As a tailor, Mr. Johnson learned the hard way that some projects simply required a mouse-click escape route.""",I'm not a big cat person.,0.07916649
538,chatgpt (gpt-4o),"""As a tailor, Mr. Johnson learned the hard way that some projects simply required a mouse-click escape route.""",Think it over. I'm still the only one here who can use a can opener.,0.09623726
538,chatgpt (gpt-4o),"""As a tailor, Mr. Johnson learned the hard way that some projects simply required a mouse-click escape route.""","I may be a little prick, but at least I'm not a giant pussy.",0.083465636
538,chatgpt (gpt-4o),"""As a tailor, Mr. Johnson learned the hard way that some projects simply required a mouse-click escape route.""","In my defense, the neutering was a requirement of the condo board.",0.15317866
538,chatgpt (gpt-4o),"""As a tailor, Mr. Johnson learned the hard way that some projects simply required a mouse-click escape route.""","First of all, I'd like to apologize for the whole laser light thing.",0.1206098
538,chatgpt (gpt-4o),"""As a tailor, Mr. Johnson learned the hard way that some projects simply required a mouse-click escape route.""",I'm not a big cat person.,0.07916649
538,chatgpt (gpt-4o),"""As a tailor, Mr. Johnson learned the hard way that some projects simply required a mouse-click escape route.""",Think it over. I'm still the only one here who can use a can opener.,0.09623726
538,chatgpt (gpt-4o),"""As a tailor, Mr. Johnson learned the hard way that some projects simply required a mouse-click escape route.""","In my defense, the neutering was a requirement of the condo board.",0.15317866
538,chatgpt (gpt-4o),"""As a tailor, Mr. Johnson learned the hard way that some projects simply required a mouse-click escape route.""","I may be a little prick, but at least I'm not a giant pussy.",0.083465636
538,claude,Cat Toy Story: Andy's All Grown Up,"First of all, I'd like to apologize for the whole laser light thing.",0.08933665
538,claude,Cat Toy Story: Andy's All Grown Up,I'm not a big cat person.,0.40019724
538,claude,Cat Toy Story: Andy's All Grown Up,Think it over. I'm still the only one here who can use a can opener.,0.14328262
538,claude,Cat Toy Story: Andy's All Grown Up,"I may be a little prick, but at least I'm not a giant pussy.",0.18839018
538,claude,Cat Toy Story: Andy's All Grown Up,"In my defense, the neutering was a requirement of the condo board.",0.07681534
538,claude,Cat Toy Story: Andy's All Grown Up,"First of all, I'd like to apologize for the whole laser light thing.",0.08933665
538,claude,Cat Toy Story: Andy's All Grown Up,I'm not a big cat person.,0.40019724
538,claude,Cat Toy Story: Andy's All Grown Up,Think it over. I'm still the only one here who can use a can opener.,0.14328262
538,claude,Cat Toy Story: Andy's All Grown Up,"In my defense, the neutering was a requirement of the condo board.",0.07681534
538,claude,Cat Toy Story: Andy's All Grown Up,"I may be a little prick, but at least I'm not a giant pussy.",0.18839018
634,chatgpt (gpt-4o),“This is why I never book the 'Scenic Pyramid View' on Expedia.”,Of course it’s kosher – who do you think built this place?,0.12920381
634,chatgpt (gpt-4o),“This is why I never book the 'Scenic Pyramid View' on Expedia.”,I think it's safe to assume it contains preservatives.,0.062079772
634,chatgpt (gpt-4o),“This is why I never book the 'Scenic Pyramid View' on Expedia.”,I think it's safe to assume it contains preservatives.,0.062079772
634,chatgpt (gpt-4o),“This is why I never book the 'Scenic Pyramid View' on Expedia.”,It's an old recipe he got from his mummy.,0.118870035
634,chatgpt (gpt-4o),“This is why I never book the 'Scenic Pyramid View' on Expedia.”,No thanks. Those things always get stuck in my sarcophagus.,0.019998364
634,chatgpt (gpt-4o),“This is why I never book the 'Scenic Pyramid View' on Expedia.”,He must be the only one in the whole Middle East actually making concessions.,0.10573447
634,chatgpt (gpt-4o),“This is why I never book the 'Scenic Pyramid View' on Expedia.”,"No, thanks--you never know who goes into those things.",0.20627971
634,chatgpt (gpt-4o),“This is why I never book the 'Scenic Pyramid View' on Expedia.”,"Finally, hotdogs are at the top of the food pyramid.",0.15451926
634,chatgpt (gpt-4o),“This is why I never book the 'Scenic Pyramid View' on Expedia.”,"He offered us a franchise, but I think it’s a pyramid scheme.",0.11905252
634,chatgpt (gpt-4o),“This is why I never book the 'Scenic Pyramid View' on Expedia.”,"No, thanks--you never know who goes into those things.",0.20627971
634,claude,"""You know, I've heard of a bird's-eye view, but this is just ridiculous!""",Of course it’s kosher – who do you think built this place?,0.094598904
634,claude,"""You know, I've heard of a bird's-eye view, but this is just ridiculous!""",I think it's safe to assume it contains preservatives.,0.04975462
634,claude,"""You know, I've heard of a bird's-eye view, but this is just ridiculous!""",I think it's safe to assume it contains preservatives.,0.04975462
634,claude,"""You know, I've heard of a bird's-eye view, but this is just ridiculous!""",It's an old recipe he got from his mummy.,0.11078379
634,claude,"""You know, I've heard of a bird's-eye view, but this is just ridiculous!""",No thanks. Those things always get stuck in my sarcophagus.,0.16210516
634,claude,"""You know, I've heard of a bird's-eye view, but this is just ridiculous!""",He must be the only one in the whole Middle East actually making concessions.,0.04082503
634,claude,"""You know, I've heard of a bird's-eye view, but this is just ridiculous!""","No, thanks--you never know who goes into those things.",0.012680629
634,claude,"""You know, I've heard of a bird's-eye view, but this is just ridiculous!""","Finally, hotdogs are at the top of the food pyramid.",0.16624112
634,claude,"""You know, I've heard of a bird's-eye view, but this is just ridiculous!""","He offered us a franchise, but I think it’s a pyramid scheme.",0.08467517
634,claude,"""You know, I've heard of a bird's-eye view, but this is just ridiculous!""","No, thanks--you never know who goes into those things.",0.012680629
764,chatgpt (gpt-4o),"""And there, at the summit, lays the elusive Zenfish—sought by monks and aquarium enthusiasts alike.""",No sage advice. This is more of a think tank.,0.2732464
764,chatgpt (gpt-4o),"""And there, at the summit, lays the elusive Zenfish—sought by monks and aquarium enthusiasts alike.""","Congratulations, you have just completed step two of Spirit Airline's refund policy.",0.008709032
764,chatgpt (gpt-4o),"""And there, at the summit, lays the elusive Zenfish—sought by monks and aquarium enthusiasts alike.""",Your parents lied to you about my death.,0.039713927
764,chatgpt (gpt-4o),"""And there, at the summit, lays the elusive Zenfish—sought by monks and aquarium enthusiasts alike.""","If you're from Uber Eats, just sprinkle it in.",-0.05950558
764,chatgpt (gpt-4o),"""And there, at the summit, lays the elusive Zenfish—sought by monks and aquarium enthusiasts alike.""","Yes, I really can talk. You have two questions left.",0.03651949
764,chatgpt (gpt-4o),"""And there, at the summit, lays the elusive Zenfish—sought by monks and aquarium enthusiasts alike.""",Your parents lied to you about my death.,0.039713927
764,chatgpt (gpt-4o),"""And there, at the summit, lays the elusive Zenfish—sought by monks and aquarium enthusiasts alike.""","Congratulations, you have just completed step two of Spirit Airline's refund policy.",0.008709032
764,chatgpt (gpt-4o),"""And there, at the summit, lays the elusive Zenfish—sought by monks and aquarium enthusiasts alike.""","Yes, I really can talk. You have two questions left.",0.03651949
764,chatgpt (gpt-4o),"""And there, at the summit, lays the elusive Zenfish—sought by monks and aquarium enthusiasts alike.""",Bad timing.  The swami's at his place on Nantucket.,0.30139092
764,chatgpt (gpt-4o),"""And there, at the summit, lays the elusive Zenfish—sought by monks and aquarium enthusiasts alike.""",This is the last time I feed someone's fish while they're on vacation.,0.30405986
764,claude,Cave a Day Keeps the Doctor Away,No sage advice. This is more of a think tank.,0.19559112
764,claude,Cave a Day Keeps the Doctor Away,"Congratulations, you have just completed step two of Spirit Airline's refund policy.",0.038673252
764,claude,Cave a Day Keeps the Doctor Away,Your parents lied to you about my death.,0.18284623
764,claude,Cave a Day Keeps the Doctor Away,"If you're from Uber Eats, just sprinkle it in.",0.08916435
764,claude,Cave a Day Keeps the Doctor Away,"Yes, I really can talk. You have two questions left.",0.07117301
764,claude,Cave a Day Keeps the Doctor Away,Your parents lied to you about my death.,0.18284623
764,claude,Cave a Day Keeps the Doctor Away,"Congratulations, you have just completed step two of Spirit Airline's refund policy.",0.038673252
764,claude,Cave a Day Keeps the Doctor Away,"Yes, I really can talk. You have two questions left.",0.07117301
764,claude,Cave a Day Keeps the Doctor Away,Bad timing.  The swami's at his place on Nantucket.,0.23700194
764,claude,Cave a Day Keeps the Doctor Away,This is the last time I feed someone's fish while they're on vacation.,0.19305018
585,chatgpt (gpt-4o),"""First wish granted: an endless supply of toast. Next?""","OK, your crumb tray is cleaned and the coffee is brewing. You have one left.",0.21951717
585,chatgpt (gpt-4o),"""First wish granted: an endless supply of toast. Next?""","Rub all you like, kid. All you're gonna get is toast.",0.36580938
585,chatgpt (gpt-4o),"""First wish granted: an endless supply of toast. Next?""","you have three wishes, as long as they're light, medium and dark..",0.3763939
585,chatgpt (gpt-4o),"""First wish granted: an endless supply of toast. Next?""","Make a different wish, your bagel is really stuck.",0.44875622
585,chatgpt (gpt-4o),"""First wish granted: an endless supply of toast. Next?""","OK, your crumb tray is cleaned and the coffee is brewing. You have one left.",0.21951717
585,chatgpt (gpt-4o),"""First wish granted: an endless supply of toast. Next?""",It was the only way I could get into the country.,0.11475394
585,chatgpt (gpt-4o),"""First wish granted: an endless supply of toast. Next?""","Rub all you like, kid. All you're gonna get is toast.",0.36580938
585,chatgpt (gpt-4o),"""First wish granted: an endless supply of toast. Next?""","I went ahead and fixed the bagel setting, too. So with parts and labor, that actually comes out to two wishes.",0.31278336
585,chatgpt (gpt-4o),"""First wish granted: an endless supply of toast. Next?""",It was the only way I could get into the country.,0.11475394
585,chatgpt (gpt-4o),"""First wish granted: an endless supply of toast. Next?""","you have three wishes, as long as they're light, medium and dark..",0.3763939
585,claude,"""I said decaf, not half-caf! No wonder I'm jumpy this morning.""","OK, your crumb tray is cleaned and the coffee is brewing. You have one left.",0.25444245
585,claude,"""I said decaf, not half-caf! No wonder I'm jumpy this morning.""","Rub all you like, kid. All you're gonna get is toast.",0.16406894
585,claude,"""I said decaf, not half-caf! No wonder I'm jumpy this morning.""","you have three wishes, as long as they're light, medium and dark..",0.011082429
585,claude,"""I said decaf, not half-caf! No wonder I'm jumpy this morning.""","Make a different wish, your bagel is really stuck.",0.15958041
585,claude,"""I said decaf, not half-caf! No wonder I'm jumpy this morning.""","OK, your crumb tray is cleaned and the coffee is brewing. You have one left.",0.25444245
585,claude,"""I said decaf, not half-caf! No wonder I'm jumpy this morning.""",It was the only way I could get into the country.,0.1518372
585,claude,"""I said decaf, not half-caf! No wonder I'm jumpy this morning.""","Rub all you like, kid. All you're gonna get is toast.",0.16406894
585,claude,"""I said decaf, not half-caf! No wonder I'm jumpy this morning.""","I went ahead and fixed the bagel setting, too. So with parts and labor, that actually comes out to two wishes.",0.109757826
585,claude,"""I said decaf, not half-caf! No wonder I'm jumpy this morning.""",It was the only way I could get into the country.,0.1518372
585,claude,"""I said decaf, not half-caf! No wonder I'm jumpy this morning.""","you have three wishes, as long as they're light, medium and dark..",0.011082429
623,chatgpt (gpt-4o),"""I'm telling you, officer, he thought 'dog park' and 'kite park' were the same thing.""","Sir, did you leave a kite at the dog park by any chance?",0.5123783
623,chatgpt (gpt-4o),"""I'm telling you, officer, he thought 'dog park' and 'kite park' were the same thing.""",But my dog IS on a leash,0.29963464
623,chatgpt (gpt-4o),"""I'm telling you, officer, he thought 'dog park' and 'kite park' were the same thing.""",Do you realize your kite's in the car with the window cracked open?,0.33347136
623,chatgpt (gpt-4o),"""I'm telling you, officer, he thought 'dog park' and 'kite park' were the same thing.""",I don't think you appreciate the gravity of the situation.,0.06109668
623,chatgpt (gpt-4o),"""I'm telling you, officer, he thought 'dog park' and 'kite park' were the same thing.""","Okay, but if he starts sniffing their tails he has to leave.",0.19056877
623,chatgpt (gpt-4o),"""I'm telling you, officer, he thought 'dog park' and 'kite park' were the same thing.""","You better hope that was rain I just felt.""",0.24670434
623,chatgpt (gpt-4o),"""I'm telling you, officer, he thought 'dog park' and 'kite park' were the same thing.""","Have you tried saying, ""Down, boy""?",0.20735589
623,chatgpt (gpt-4o),"""I'm telling you, officer, he thought 'dog park' and 'kite park' were the same thing.""","He's a beagle, but he claims the ""b"" is silent.",0.30239475
623,chatgpt (gpt-4o),"""I'm telling you, officer, he thought 'dog park' and 'kite park' were the same thing.""","Okay, but if he starts sniffing their tails he has to leave.",0.19056877
623,chatgpt (gpt-4o),"""I'm telling you, officer, he thought 'dog park' and 'kite park' were the same thing.""",It's a park. He's on a leash. What's it to you?,0.46428847
623,claude,Roosevelt Kite Park: Where dreams take flight and old-timers get tangled up in red tape.,"Sir, did you leave a kite at the dog park by any chance?",0.4187095
623,claude,Roosevelt Kite Park: Where dreams take flight and old-timers get tangled up in red tape.,But my dog IS on a leash,0.11344324
623,claude,Roosevelt Kite Park: Where dreams take flight and old-timers get tangled up in red tape.,Do you realize your kite's in the car with the window cracked open?,0.38369668
623,claude,Roosevelt Kite Park: Where dreams take flight and old-timers get tangled up in red tape.,I don't think you appreciate the gravity of the situation.,0.07173413
623,claude,Roosevelt Kite Park: Where dreams take flight and old-timers get tangled up in red tape.,"Okay, but if he starts sniffing their tails he has to leave.",0.06134168
623,claude,Roosevelt Kite Park: Where dreams take flight and old-timers get tangled up in red tape.,"You better hope that was rain I just felt.""",0.11994809
623,claude,Roosevelt Kite Park: Where dreams take flight and old-timers get tangled up in red tape.,"Have you tried saying, ""Down, boy""?",0.08541785
623,claude,Roosevelt Kite Park: Where dreams take flight and old-timers get tangled up in red tape.,"He's a beagle, but he claims the ""b"" is silent.",0.044110056
623,claude,Roosevelt Kite Park: Where dreams take flight and old-timers get tangled up in red tape.,"Okay, but if he starts sniffing their tails he has to leave.",0.06134168
623,claude,Roosevelt Kite Park: Where dreams take flight and old-timers get tangled up in red tape.,It's a park. He's on a leash. What's it to you?,0.33789095
773,chatgpt (gpt-4o),"""Darling, I think we've finally discovered where all the water in the apartment is going.""",Your first time in Australia?,0.10888276
773,chatgpt (gpt-4o),"""Darling, I think we've finally discovered where all the water in the apartment is going.""",„.dnos ǝɥʇ ɹǝpɹo ʇ’uoᗡ„,0.09632629
773,chatgpt (gpt-4o),"""Darling, I think we've finally discovered where all the water in the apartment is going.""","I guess I should have said ""cheers"" instead of ""bottoms up.""",0.10557948
773,chatgpt (gpt-4o),"""Darling, I think we've finally discovered where all the water in the apartment is going.""",I'm definitely ordering the sticky rice.,0.09441466
773,chatgpt (gpt-4o),"""Darling, I think we've finally discovered where all the water in the apartment is going.""",We should've ordered our drinks straight up.,0.218654
773,chatgpt (gpt-4o),"""Darling, I think we've finally discovered where all the water in the apartment is going.""",„.dnos ǝɥʇ ɹǝpɹo ʇ’uoᗡ„,0.09632629
773,chatgpt (gpt-4o),"""Darling, I think we've finally discovered where all the water in the apartment is going.""",Your first time in Australia?,0.10888276
773,chatgpt (gpt-4o),"""Darling, I think we've finally discovered where all the water in the apartment is going.""",I'm definitely ordering the sticky rice.,0.09441466
773,chatgpt (gpt-4o),"""Darling, I think we've finally discovered where all the water in the apartment is going.""","I guess I should have said ""cheers"" instead of ""bottoms up.""",0.10557948
773,chatgpt (gpt-4o),"""Darling, I think we've finally discovered where all the water in the apartment is going.""","If we order the apple turnover, we should be ok.",0.088134676
773,claude,"""At least the hot water's working.""",Your first time in Australia?,0.07041085
773,claude,"""At least the hot water's working.""",„.dnos ǝɥʇ ɹǝpɹo ʇ’uoᗡ„,0.16628699
773,claude,"""At least the hot water's working.""","I guess I should have said ""cheers"" instead of ""bottoms up.""",0.13086401
773,claude,"""At least the hot water's working.""",I'm definitely ordering the sticky rice.,0.08762197
773,claude,"""At least the hot water's working.""",We should've ordered our drinks straight up.,0.26306412
773,claude,"""At least the hot water's working.""",„.dnos ǝɥʇ ɹǝpɹo ʇ’uoᗡ„,0.16628699
773,claude,"""At least the hot water's working.""",Your first time in Australia?,0.07041085
773,claude,"""At least the hot water's working.""",I'm definitely ordering the sticky rice.,0.08762197
773,claude,"""At least the hot water's working.""","I guess I should have said ""cheers"" instead of ""bottoms up.""",0.13086401
773,claude,"""At least the hot water's working.""","If we order the apple turnover, we should be ok.",0.14896041
592,chatgpt (gpt-4o),"""Sure, they can type — but wait until you see their PowerPoint presentations.""",I'm only in it for the bread.,0.10667674
592,chatgpt (gpt-4o),"""Sure, they can type — but wait until you see their PowerPoint presentations.""",The answer to number seven? I can’t even turn this thing on.,0.17850184
592,chatgpt (gpt-4o),"""Sure, they can type — but wait until you see their PowerPoint presentations.""","Back to work birds, and enough with the wisequacks!",0.11573771
592,chatgpt (gpt-4o),"""Sure, they can type — but wait until you see their PowerPoint presentations.""","Him? He's a pwoblem duck, stwessed out and weady to quack.",-0.021054927
592,chatgpt (gpt-4o),"""Sure, they can type — but wait until you see their PowerPoint presentations.""",Do you ever want to wring your own neck?,-0.030559681
592,chatgpt (gpt-4o),"""Sure, they can type — but wait until you see their PowerPoint presentations.""","We're not getting Shakespeare, but about every three minutes we get a presidential tweet.",0.20930174
592,chatgpt (gpt-4o),"""Sure, they can type — but wait until you see their PowerPoint presentations.""","Ever so subtly, Ed began to push his right wing agenda.",0.08960812
592,chatgpt (gpt-4o),"""Sure, they can type — but wait until you see their PowerPoint presentations.""",I'm pretty sure I said 'hackers'.,0.17367384
592,chatgpt (gpt-4o),"""Sure, they can type — but wait until you see their PowerPoint presentations.""",I am concerned that this project could go south really fast.,0.11955355
592,chatgpt (gpt-4o),"""Sure, they can type — but wait until you see their PowerPoint presentations.""",They want to know if they can work remotely during the winter,0.22317152
592,claude,"""As you can see, we've streamlined our online course offerings this semester.""",I'm only in it for the bread.,0.13347393
592,claude,"""As you can see, we've streamlined our online course offerings this semester.""",The answer to number seven? I can’t even turn this thing on.,0.034077935
592,claude,"""As you can see, we've streamlined our online course offerings this semester.""","Back to work birds, and enough with the wisequacks!",0.04987533
592,claude,"""As you can see, we've streamlined our online course offerings this semester.""","Him? He's a pwoblem duck, stwessed out and weady to quack.",0.029587211
592,claude,"""As you can see, we've streamlined our online course offerings this semester.""",Do you ever want to wring your own neck?,0.017408874
592,claude,"""As you can see, we've streamlined our online course offerings this semester.""","We're not getting Shakespeare, but about every three minutes we get a presidential tweet.",0.13651687
592,claude,"""As you can see, we've streamlined our online course offerings this semester.""","Ever so subtly, Ed began to push his right wing agenda.",0.13563842
592,claude,"""As you can see, we've streamlined our online course offerings this semester.""",I'm pretty sure I said 'hackers'.,0.06879531
592,claude,"""As you can see, we've streamlined our online course offerings this semester.""",I am concerned that this project could go south really fast.,0.12795694
592,claude,"""As you can see, we've streamlined our online course offerings this semester.""",They want to know if they can work remotely during the winter,0.09614541
810,chatgpt (gpt-4o),"""I don't know, man, the elephant in the room doesn't seem all that metaphorical.""","Sorry for the wait, but when he got in he hit all the buttons.",0.13836998
810,chatgpt (gpt-4o),"""I don't know, man, the elephant in the room doesn't seem all that metaphorical.""",He thinks taking the freight elevator is body shaming.,0.2689262
810,chatgpt (gpt-4o),"""I don't know, man, the elephant in the room doesn't seem all that metaphorical.""","Everyone ignores the elephant in the room, but take one on the elevator and everyone has something to say.",0.63074917
810,chatgpt (gpt-4o),"""I don't know, man, the elephant in the room doesn't seem all that metaphorical.""",The zoo wants me to work from home.,0.24899046
810,chatgpt (gpt-4o),"""I don't know, man, the elephant in the room doesn't seem all that metaphorical.""",He thinks taking the freight elevator is body shaming.,0.2689262
810,chatgpt (gpt-4o),"""I don't know, man, the elephant in the room doesn't seem all that metaphorical.""","I’m okay. The five people in the back, not so much.",0.18790686
810,chatgpt (gpt-4o),"""I don't know, man, the elephant in the room doesn't seem all that metaphorical.""","I’m okay. The five people in the back, not so much.",0.18790686
810,chatgpt (gpt-4o),"""I don't know, man, the elephant in the room doesn't seem all that metaphorical.""","Everyone ignores the elephant in the room, but take one on the elevator and everyone has something to say.",0.63074917
810,chatgpt (gpt-4o),"""I don't know, man, the elephant in the room doesn't seem all that metaphorical.""",The zoo wants me to work from home.,0.24899046
810,chatgpt (gpt-4o),"""I don't know, man, the elephant in the room doesn't seem all that metaphorical.""","Sorry for the wait, but when he got in he hit all the buttons.",0.13836998
810,claude,"""I know it's unconventional, but I'm pretty sure this still counts as six feet apart.""","Sorry for the wait, but when he got in he hit all the buttons.",-0.013247244
810,claude,"""I know it's unconventional, but I'm pretty sure this still counts as six feet apart.""",He thinks taking the freight elevator is body shaming.,0.22346148
810,claude,"""I know it's unconventional, but I'm pretty sure this still counts as six feet apart.""","Everyone ignores the elephant in the room, but take one on the elevator and everyone has something to say.",0.19631383
810,claude,"""I know it's unconventional, but I'm pretty sure this still counts as six feet apart.""",The zoo wants me to work from home.,0.104826584
810,claude,"""I know it's unconventional, but I'm pretty sure this still counts as six feet apart.""",He thinks taking the freight elevator is body shaming.,0.22346148
810,claude,"""I know it's unconventional, but I'm pretty sure this still counts as six feet apart.""","I’m okay. The five people in the back, not so much.",0.11289997
810,claude,"""I know it's unconventional, but I'm pretty sure this still counts as six feet apart.""","I’m okay. The five people in the back, not so much.",0.11289997
810,claude,"""I know it's unconventional, but I'm pretty sure this still counts as six feet apart.""","Everyone ignores the elephant in the room, but take one on the elevator and everyone has something to say.",0.19631383
810,claude,"""I know it's unconventional, but I'm pretty sure this still counts as six feet apart.""",The zoo wants me to work from home.,0.104826584
810,claude,"""I know it's unconventional, but I'm pretty sure this still counts as six feet apart.""","Sorry for the wait, but when he got in he hit all the buttons.",-0.013247244
883,chatgpt (gpt-4o),"""Do you think he knows it's live?""","Maul a man and you eat for a day, teach a man to pamper you…",0.043204457
883,chatgpt (gpt-4o),"""Do you think he knows it's live?""","You knew I was domesticated when you married me, Margaret.”",0.29528695
883,chatgpt (gpt-4o),"""Do you think he knows it's live?""",I'll bet no one ever called him pussy.,0.077604026
883,chatgpt (gpt-4o),"""Do you think he knows it's live?""",We never pounce anymore.,0.01652278
883,chatgpt (gpt-4o),"""Do you think he knows it's live?""",That reminds me—your mother called this morning.,0.09966772
883,chatgpt (gpt-4o),"""Do you think he knows it's live?""",I bet they wouldn't tell him to stay off the furniture.,0.2161887
883,chatgpt (gpt-4o),"""Do you think he knows it's live?""",We never pounce anymore.,0.01652278
883,chatgpt (gpt-4o),"""Do you think he knows it's live?""","Maul a man and you eat for a day, teach a man to pamper you…",0.043204457
883,chatgpt (gpt-4o),"""Do you think he knows it's live?""","Sure, he's big. But can he manipulate humans like we do?",0.10914574
883,chatgpt (gpt-4o),"""Do you think he knows it's live?""","You knew I was domesticated when you married me, Margaret.”",0.29528695
883,claude,"""On second thought, maybe adopting those stray tigers wasn't the best idea...""","Maul a man and you eat for a day, teach a man to pamper you…",0.1261298
883,claude,"""On second thought, maybe adopting those stray tigers wasn't the best idea...""","You knew I was domesticated when you married me, Margaret.”",0.2792275
883,claude,"""On second thought, maybe adopting those stray tigers wasn't the best idea...""",I'll bet no one ever called him pussy.,0.06387803
883,claude,"""On second thought, maybe adopting those stray tigers wasn't the best idea...""",We never pounce anymore.,0.022374535
