contest,human_caption,chatgpt,claude,Who_won,Description
523,I think I ordered from the wrong Amazon.,0.07418968,0.1014706,claude,Claude aligned more closely with human captions
523,I'll tell you what could be more fun--a barrel of wine.,0.051271223,0.091576636,claude,Claude aligned more closely with human captions
523,Then maybe you should just tell me what you want for your birthday instead of saying you don't care.,-0.02145414,0.009003462,claude,Claude aligned more closely with human captions
523,You ordered from the wrong Amazon.,0.082034856,0.10820879,claude,Claude aligned more closely with human captions
524,Are you licensed to carry small arms?,0.026669044,0.02320429,chatgpt,ChatGPT aligned more closely with human captions
524,Did your momma tell you there would be knights like this?,0.22415473,0.20731667,chatgpt,ChatGPT aligned more closely with human captions
524,Don't give me that endangered species crap!,0.091522485,0.09381226,claude,Claude aligned more closely with human captions
524,Harry has his usual dream before his mother-in-law's visit.,0.023775596,0.12370969,claude,Claude aligned more closely with human captions
524,"Take the picture, dammit, take the picture!",0.11071114,0.20443267,claude,Claude aligned more closely with human captions
524,This seems to be a case of reptile dysfunction.,0.15162724,0.23379545,claude,Claude aligned more closely with human captions
526,"Excuse me, Miss, my eyes are down here.",0.14189273,0.15766285,claude,Claude aligned more closely with human captions
526,Hey! My eyes are down here.,0.10816253,0.13751255,claude,Claude aligned more closely with human captions
526,"I don't mean to sing my praises, but ...",0.11017276,0.124598965,claude,Claude aligned more closely with human captions
526,"It autocorrected to ""hula"".",0.09645998,0.122335,claude,Claude aligned more closely with human captions
526,It was autocorrected to 'hula.',0.08891818,0.16206509,claude,Claude aligned more closely with human captions
526,My eyes are down here.,0.1211476,0.11842092,chatgpt,ChatGPT aligned more closely with human captions
526,Remember all those times you said I was wrong?,0.041412268,0.085222065,claude,Claude aligned more closely with human captions
527,"Greetings, and let go of my penis.",0.1274482,0.07718322,chatgpt,ChatGPT aligned more closely with human captions
527,We have observed you in the barn. So many questions.,0.20754264,0.16211392,chatgpt,ChatGPT aligned more closely with human captions
527,"Welcome aboard! First stop, Uranus.",0.2433602,0.25541776,claude,Claude aligned more closely with human captions
527,"Well, I never believed in you either.",0.0633024,0.07130092,claude,Claude aligned more closely with human captions
527,"Well, your profile pic doesn't look much like you either.",0.019174406,-0.054200936,chatgpt,ChatGPT aligned more closely with human captions
527,"You voted ‘Leave,’ didn’t you?",0.15364628,0.21194328,claude,Claude aligned more closely with human captions
527,Your cows speak highly of you.,0.12021847,0.08163923,chatgpt,ChatGPT aligned more closely with human captions
528,I am entertaining a motion to evacuate. Do I hear a second?,0.12875661,0.04958866,chatgpt,ChatGPT aligned more closely with human captions
528,I don't think you understand the gravity of the situation.,0.08036883,0.094988786,claude,Claude aligned more closely with human captions
528,Red rover red rover send Sandi on over,0.032288857,0.07303585,claude,Claude aligned more closely with human captions
528,"So, then -- all in favor of removing the wheels from our chairs, say 'aye.'d",0.3061686,0.18489313,chatgpt,ChatGPT aligned more closely with human captions
528,The captain assures me it was a very small iceberg.,0.2207386,0.29679045,claude,Claude aligned more closely with human captions
528,This meeting is getting away from me.,0.36671835,0.2539371,chatgpt,ChatGPT aligned more closely with human captions
528,Welcome to Weight Watchers!,0.048188165,0.08197814,claude,Claude aligned more closely with human captions
528,"Well, maybe now you will appreciate the gravity of the situation.",0.07655449,0.074953325,chatgpt,ChatGPT aligned more closely with human captions
529,Because it's not there.,-0.03294467,0.052412517,claude,Claude aligned more closely with human captions
529,I'm suspended by disbelief.,0.14450642,0.022480238,chatgpt,ChatGPT aligned more closely with human captions
529,It's easy once you realize there's nothing to it.,-0.017726675,0.17817192,claude,Claude aligned more closely with human captions
529,Of course I understand the gravity of the situation.,0.10648093,0.15540305,claude,Claude aligned more closely with human captions
529,"See, there's nothing to it.",0.0423685,0.10969831,claude,Claude aligned more closely with human captions
529,There's really nothing to it.,-0.013525431,0.11998716,claude,Claude aligned more closely with human captions
530,"According to the doctor, your longevity would improve dramatically if you'd get off the throne and walk more.",0.118879564,0.28243065,claude,Claude aligned more closely with human captions
530,And the king lived happily severed after.,0.05667154,0.3260294,claude,Claude aligned more closely with human captions
530,May I suggest that we dispense with today's reading of the royal horoscope?,0.20301512,0.22195356,claude,Claude aligned more closely with human captions
530,The consensus of your wise men is: move the chair.,0.24324852,0.21650766,chatgpt,ChatGPT aligned more closely with human captions
530,While I have your undivided attention...,0.08814056,0.076331556,chatgpt,ChatGPT aligned more closely with human captions
530,"Yes, your majesty. So far we have 'Live by the sword'. Is there any more to it?",0.27522275,0.2841726,claude,Claude aligned more closely with human captions
530,Your overhead is going to kill you.,0.23163459,0.11562538,chatgpt,ChatGPT aligned more closely with human captions
531,"I wasn't impressed with the ark on the outside, but this is nice.",0.102411434,0.13007209,claude,Claude aligned more closely with human captions
531,"If he's elected, we're going to have a tough time proving we weren't born in Africa.",0.10067464,0.117722124,claude,Claude aligned more closely with human captions
531,Let's stay in tonight. It's a zoo out there.,0.3132445,0.23602289,chatgpt,ChatGPT aligned more closely with human captions
531,Sorry I'm late. I hit every traffic light coming home.,0.106154546,0.11990623,claude,Claude aligned more closely with human captions
531,"Yes, it's hot. But a ceiling fan will only make things worse.",0.040235896,0.005673617,chatgpt,ChatGPT aligned more closely with human captions
532,"I ain't heavy, I'm your blubber.",0.05436836,0.12399164,claude,Claude aligned more closely with human captions
532,"Sorry, totally thought I could jump it.",0.09831289,0.15470302,claude,Claude aligned more closely with human captions
532,Sorry...I was texting.,0.120602064,0.13772935,claude,Claude aligned more closely with human captions
532,They were never going to find you anyway,0.22939678,0.20414557,chatgpt,ChatGPT aligned more closely with human captions
532,Who's endangered now?,0.06983404,0.20112984,claude,Claude aligned more closely with human captions
532,"Yeah, well your profile wasn't exactly honest either.",0.08917722,0.13140345,claude,Claude aligned more closely with human captions
533,Before this I was a bus-boy.,0.25011235,0.18508254,chatgpt,ChatGPT aligned more closely with human captions
533,"If you see something, say something.",0.19899811,0.19702601,chatgpt,ChatGPT aligned more closely with human captions
533,Our chef trained at the Paris Metro.,0.34606647,0.22749132,chatgpt,ChatGPT aligned more closely with human captions
533,"Sorry for the wait, but it's been like Grand Central Station in here.",0.40581086,0.06761198,chatgpt,ChatGPT aligned more closely with human captions
533,"The restroom is located just behind you, sir.",0.17187308,0.108305536,chatgpt,ChatGPT aligned more closely with human captions
534,Anywhere but Eve's office.,0.1891196,0.10426461,chatgpt,ChatGPT aligned more closely with human captions
534,It's a pet of the one-armed guy 9 back who is carrying it to the shredder.,0.17797102,0.06632128,chatgpt,ChatGPT aligned more closely with human captions
534,"Looks like Sammy wins the ""bring your pet to work"" contest. He ate all of the other entries!",0.2618033,0.08106959,chatgpt,ChatGPT aligned more closely with human captions
534,Speak softly and carry a big fish.,0.3440873,0.15747556,chatgpt,ChatGPT aligned more closely with human captions
534,We're searching for rats that escaped from the subway's Track 23 dining room kitchen.,0.26473582,0.044105165,chatgpt,ChatGPT aligned more closely with human captions
535,I just couldn't 'catch and release because who would've believed such a whale of a tale?,0.29824597,0.13296011,chatgpt,ChatGPT aligned more closely with human captions
535,"I'll bet that last restaurant will never have ""All You Can Eat Shrimp"" on their lunch menu again.",0.16129358,0.19288716,claude,Claude aligned more closely with human captions
535,Of course I knew I was marrying a mermaid. I just didn't expect to live with my mother-in-law too.,0.18560223,0.18054086,chatgpt,ChatGPT aligned more closely with human captions
535,"Yes, I love him. I'll always love him. I'm just saying I still think the hospital switched him at birth.",-0.03457554,0.05500491,claude,Claude aligned more closely with human captions
535,You and your surfaris.,0.263412,0.12689291,chatgpt,ChatGPT aligned more closely with human captions
536,And are the clowns inside you now?,0.1427307,0.08152823,chatgpt,ChatGPT aligned more closely with human captions
536,I'd like to see you again in two thousand miles.,0.20096341,0.17032728,chatgpt,ChatGPT aligned more closely with human captions
536,"I'm afraid we're out of time, but I'd like to see you again in 5,000 miles …",0.15187714,0.121031955,chatgpt,ChatGPT aligned more closely with human captions
536,So you're no longer attending your AAA meetings?,0.1362916,0.09216102,chatgpt,ChatGPT aligned more closely with human captions
536,Sometimes a dipstick is just a dipstick.,0.030077621,0.039865762,claude,Claude aligned more closely with human captions
536,"The impotence, that feeling of being out of control when you find yourself parallel parking against your will, probably started when you were being assembled.",0.32121426,0.21525452,chatgpt,ChatGPT aligned more closely with human captions
537,He is making a life preserver for my Mother.,0.17112198,0.02692927,chatgpt,ChatGPT aligned more closely with human captions
537,He said the patent expired,0.03515335,0.025441222,chatgpt,ChatGPT aligned more closely with human captions
537,He says the guy with the original idea never took out a patent!,0.020527102,0.11714495,claude,Claude aligned more closely with human captions
537,He told me that the patent expired.,0.08931588,-0.006303643,chatgpt,ChatGPT aligned more closely with human captions
537,I hope he discovers fire soon. Dinner is at six.,0.086485304,0.1117346,claude,Claude aligned more closely with human captions
538,"First of all, I'd like to apologize for the whole laser light thing.",0.1206098,0.08933665,chatgpt,ChatGPT aligned more closely with human captions
538,"I may be a little prick, but at least I'm not a giant pussy.",0.083465636,0.18839018,claude,Claude aligned more closely with human captions
538,I'm not a big cat person.,0.07916649,0.40019724,claude,Claude aligned more closely with human captions
538,"In my defense, the neutering was a requirement of the condo board.",0.15317866,0.07681534,chatgpt,ChatGPT aligned more closely with human captions
538,Think it over. I'm still the only one here who can use a can opener.,0.09623726,0.14328262,claude,Claude aligned more closely with human captions
539,He doesn't seem to appreciate the gravity of his situation.,0.17685647,0.103439465,chatgpt,ChatGPT aligned more closely with human captions
539,I don't think he realizes the gravity of the situation.,0.22590336,0.12796265,chatgpt,ChatGPT aligned more closely with human captions
539,Now THAT'S the road less traveled!,0.066346884,0.20436126,claude,Claude aligned more closely with human captions
539,"Thank God. For a moment there, I thought he was going to jump!",0.20884547,0.085837215,chatgpt,ChatGPT aligned more closely with human captions
539,"Wait, the GPS is recalculating",0.075490385,-0.0014526807,chatgpt,ChatGPT aligned more closely with human captions
540,Are you having night deposits? Suspicious withdrawals?,0.111034304,-0.028609611,chatgpt,ChatGPT aligned more closely with human captions
540,"I know a specialist, but he's in prison.",0.061544515,0.19265337,claude,Claude aligned more closely with human captions
540,I will need to see the family jewels at some point.,0.04686424,0.07173225,claude,Claude aligned more closely with human captions
540,"If I was a younger man I'de ask you out on a date."" ""Shush, I'm trying to listen."" ""If I was handsome like a movie star, maybe then?"" ""It's only what's inside you that counts."" Said the Doc sympathetically. ""Gold Digger."" ""You're imposable.",0.2824581,0.3567481,claude,Claude aligned more closely with human captions
540,"It's safe to say, it's not your heart this time.",0.12989338,0.13019891,claude,Claude aligned more closely with human captions
540,Maybe I can get the safe open if I listen to it.,0.046332464,0.026981682,chatgpt,ChatGPT aligned more closely with human captions
540,My brother has a rent-stabilized safe deposit box on 19th St. Perhaps you could go in together on a Dumpster?,0.075930975,-0.0054791793,chatgpt,ChatGPT aligned more closely with human captions
540,"Well, frankly, I think it's a combination of things...",0.07148911,0.012758145,chatgpt,ChatGPT aligned more closely with human captions
540,When was your last dial movement?,0.09932312,0.15729436,claude,Claude aligned more closely with human captions
540,have a heart and let me open this thing,0.13246292,0.04031618,chatgpt,ChatGPT aligned more closely with human captions
541,He's in the kitchen washing the toaster.,0.050042074,0.068110056,claude,Claude aligned more closely with human captions
541,Let me guess...the Gym Reaper?,0.021243505,0.19449653,claude,Claude aligned more closely with human captions
541,"No, I get it. I just think it's a little insulting that he sends an intern.",0.12864542,0.08946882,chatgpt,ChatGPT aligned more closely with human captions
541,We're divorced---but I'd be delighted to give you his current address.,0.23109266,0.014028251,chatgpt,ChatGPT aligned more closely with human captions
541,You must be kidding. I've got tickets for 'Hamilton' tonight.,0.20828995,-0.11842522,chatgpt,ChatGPT aligned more closely with human captions
542,"Nah, count the rings. She's definitely pushing 30.",0.11452874,0.13326916,claude,Claude aligned more closely with human captions
542,She is Henry's only surviving wife.,0.11800438,0.027872838,chatgpt,ChatGPT aligned more closely with human captions
542,Should we tell her it's on backwards?,0.35317987,0.18052861,chatgpt,ChatGPT aligned more closely with human captions
542,Should we tell her she's wearing two different shoes?,0.27918637,0.10690976,chatgpt,ChatGPT aligned more closely with human captions
542,So that's where all of the coffee filters went.,0.095529824,0.087389335,chatgpt,ChatGPT aligned more closely with human captions
543,Face it: 'Ms. Bigly' refuses to go with you to the Trump rally today!,0.29578298,0.21110293,chatgpt,ChatGPT aligned more closely with human captions
543,I really just thought they would send me a lapel pin when I registered.,0.021143654,0.10812105,claude,Claude aligned more closely with human captions
543,If he farts I'm out of here.,0.053341553,0.11181127,claude,Claude aligned more closely with human captions
543,The zoo won't pay the ransom. Now what?,0.099671975,0.08309885,chatgpt,ChatGPT aligned more closely with human captions
543,"Well, at least the 800-lb gorilla finally left.",0.03286596,0.08507831,claude,Claude aligned more closely with human captions
544,Are you thinking what I'm thinking?,0.07524772,0.13802716,claude,Claude aligned more closely with human captions
544,"Given Mr Tell's declining accuracy with his bow and arrow, we're lucky the guys don't use Apples.",0.13153717,0.15343362,claude,Claude aligned more closely with human captions
544,Have your guy call my guy.,-0.0055836327,0.031707473,claude,Claude aligned more closely with human captions
544,Have your person contact my person.,-0.06745725,-0.0033108843,claude,Claude aligned more closely with human captions
544,I liked it better when they were just little voices inside our heads.,0.09407455,0.060078356,chatgpt,ChatGPT aligned more closely with human captions
544,"Where exactly is Bethlehem, NY? Hmmm. Off the top of my head … 42°36'N 73°50'W in Albany County.",-0.003134204,-0.02021468,chatgpt,ChatGPT aligned more closely with human captions
545,...and I'll need an office with a window.,0.19342367,0.21995005,claude,Claude aligned more closely with human captions
545,"Before we start, would anyone else like some water?",0.3023387,0.12584162,chatgpt,ChatGPT aligned more closely with human captions
545,He got his start in the lobby.,0.23088168,0.1478098,chatgpt,ChatGPT aligned more closely with human captions
545,I thought we were moving all of our plants to Mexico.,0.12466865,0.13249075,claude,Claude aligned more closely with human captions
545,It's amazing to think he started out in the lobby.,0.22112548,0.18472853,chatgpt,ChatGPT aligned more closely with human captions
546,"If we hadn't eaten Ted, he really would have enjoyed this.",0.18309128,0.26610202,claude,Claude aligned more closely with human captions
546,OK. We have two wishes left.,0.118317075,0.15058678,claude,Claude aligned more closely with human captions
546,We never should have applauded.,0.10640174,0.07016182,chatgpt,ChatGPT aligned more closely with human captions
546,"Well, I like it more than their ""ship on the horizon"" gag.",0.15556993,0.16951,claude,Claude aligned more closely with human captions
546,What's happening on your side?,0.14726031,0.110598,chatgpt,ChatGPT aligned more closely with human captions
546,"l knew they were smart, but sarcastic?",0.2017428,0.059613504,chatgpt,ChatGPT aligned more closely with human captions
547,Like the pomp. Not crazy about the circumstances.,0.2935285,0.1370244,chatgpt,ChatGPT aligned more closely with human captions
547,"Okay, our pomp is good. Now let's work on our circumstance.",0.0901989,0.078734756,chatgpt,ChatGPT aligned more closely with human captions
547,Trump said he knows more than the majorettes.,0.15848076,0.070783295,chatgpt,ChatGPT aligned more closely with human captions
547,We're not the only ones that could use a shave.,0.072579965,0.12834227,claude,Claude aligned more closely with human captions
547,You're right. No underwear.,0.06139799,0.12644,claude,Claude aligned more closely with human captions
548,"I don't make the laws of physics, sir. I just enforce them.",0.17652535,0.030008188,chatgpt,ChatGPT aligned more closely with human captions
548,I'm going to need you to take one small step out of the vehicle,0.15896377,0.20955694,claude,Claude aligned more closely with human captions
548,"Sir, I don't make the laws of physics I just enforce them.",0.18642311,0.049084146,chatgpt,ChatGPT aligned more closely with human captions
548,So Major Tom... Do you know how fast you were going?,0.16619362,0.228053,claude,Claude aligned more closely with human captions
548,"Well, five acres of popcorn back there says you were.",0.11583851,0.109730884,chatgpt,ChatGPT aligned more closely with human captions
549,"Above all, we value restraint.",0.3711977,0.1413253,chatgpt,ChatGPT aligned more closely with human captions
549,I admire your restraint.,0.34100935,0.13908775,chatgpt,ChatGPT aligned more closely with human captions
549,OK. NOW we can discuss the election.,0.07877499,0.19147934,claude,Claude aligned more closely with human captions
549,"On casual Fridays, it's just handcuffs.",0.35760522,-0.025171474,chatgpt,ChatGPT aligned more closely with human captions
550,Are you willing to relocate?,0.047711942,0.03141825,chatgpt,ChatGPT aligned more closely with human captions
550,"At one point I had them in a semicircle, but it gave people a sense of equality.",0.1352431,0.069144554,chatgpt,ChatGPT aligned more closely with human captions
550,Martin realized he was facing some fierce competition for the ghost writer position.,0.053320426,0.13230562,claude,Claude aligned more closely with human captions
550,"When I asked you to line up a meeting with the Department Chairs, this is not what I meant.",0.38829312,0.15149152,chatgpt,ChatGPT aligned more closely with human captions
550,Where do you see yourself five chairs from now?,0.124532714,0.11214313,chatgpt,ChatGPT aligned more closely with human captions
551,"I don't know what's worse, the undertow or the combover",0.17215511,0.13383366,chatgpt,ChatGPT aligned more closely with human captions
551,"Ladies and gentlemen, if you look to your right, you’ll see a gift of friendship from the people of France; straight ahead, a gift of friendship from the people of Russia",0.020540502,0.044811085,claude,Claude aligned more closely with human captions
551,Row v. Wave,-0.07486896,0.35242456,claude,Claude aligned more closely with human captions
551,We shall overcomb.,0.113423504,0.2315926,claude,Claude aligned more closely with human captions
552,Do I LOOK like I have any Grey Poupon?,0.014895294,-0.0114360815,chatgpt,ChatGPT aligned more closely with human captions
552,Have you seen two guys and a drum majorette?,-0.030519266,0.17895925,claude,Claude aligned more closely with human captions
552,Long time no sea.,0.124018036,0.34846604,claude,Claude aligned more closely with human captions
