contest,ai_model,ai_caption,human_caption,semantic_similarity,category_human,theme,svg_path
511,Claude,"Harold's shoveling technique left something to be desired, but you had to admire his dedication to feng shui.""

The cartoon humorously depicts an unusual snow shoveling approach, with the character clearing a winding path to his house rather than a straight, efficient one.",I'm hourly.,0.032086484,Top 5 Unfunny,work,similarity_values/511.svg
511,Claude,"Harold's shoveling technique left something to be desired, but you had to admire his dedication to feng shui.""

The cartoon humorously depicts an unusual snow shoveling approach, with the character clearing a winding path to his house rather than a straight, efficient one.",And one day your son will keep you from having a heart attack.,0.018474309,Top 5 Funny,work,similarity_values/511.svg
511,Claude,"Harold's shoveling technique left something to be desired, but you had to admire his dedication to feng shui.""

The cartoon humorously depicts an unusual snow shoveling approach, with the character clearing a winding path to his house rather than a straight, efficient one.",And one day your son will keep you from having a heart attack.,0.018474309,Top 5 Unfunny,work,similarity_values/511.svg
511,Claude,"Harold's shoveling technique left something to be desired, but you had to admire his dedication to feng shui.""

The cartoon humorously depicts an unusual snow shoveling approach, with the character clearing a winding path to his house rather than a straight, efficient one.",I wish you had found that yesterday.,0.11470242,Top 5 Funny,work,similarity_values/511.svg
511,Claude,"Harold's shoveling technique left something to be desired, but you had to admire his dedication to feng shui.""

The cartoon humorously depicts an unusual snow shoveling approach, with the character clearing a winding path to his house rather than a straight, efficient one.",I wish you had found that yesterday.,0.11470242,Top 5 Unfunny,work,similarity_values/511.svg
511,Claude,"Harold's shoveling technique left something to be desired, but you had to admire his dedication to feng shui.""

The cartoon humorously depicts an unusual snow shoveling approach, with the character clearing a winding path to his house rather than a straight, efficient one.","Attention to detail is important, son.",0.04303755,Top 5 Funny,work,similarity_values/511.svg
511,Claude,"Harold's shoveling technique left something to be desired, but you had to admire his dedication to feng shui.""

The cartoon humorously depicts an unusual snow shoveling approach, with the character clearing a winding path to his house rather than a straight, efficient one.","Attention to detail is important, son.",0.04303755,Top 5 Unfunny,work,similarity_values/511.svg
511,Claude,"Harold's shoveling technique left something to be desired, but you had to admire his dedication to feng shui.""

The cartoon humorously depicts an unusual snow shoveling approach, with the character clearing a winding path to his house rather than a straight, efficient one.",My cardiologist sells them.,-0.032587096,Top 5 Funny,work,similarity_values/511.svg
511,Claude,"Harold's shoveling technique left something to be desired, but you had to admire his dedication to feng shui.""

The cartoon humorously depicts an unusual snow shoveling approach, with the character clearing a winding path to his house rather than a straight, efficient one.",My cardiologist sells them.,-0.032587096,Top 5 Unfunny,work,similarity_values/511.svg
512,ChatGPT (gpt-4o),"Yes, Carl, there's a difference between 'finding your inner peace' and 'finding a piece of your living room carpet.'","We're pretentious, not ostentatious.",0.027486935,Top 5 Funny,psychology,similarity_values/512.svg
512,ChatGPT (gpt-4o),"Yes, Carl, there's a difference between 'finding your inner peace' and 'finding a piece of your living room carpet.'","We're pretentious, not ostentatious.",0.027486935,Top 5 Unfunny,psychology,similarity_values/512.svg
512,ChatGPT (gpt-4o),"Yes, Carl, there's a difference between 'finding your inner peace' and 'finding a piece of your living room carpet.'",Broga meets on the 2nd floor.,0.22884312,Top 5 Funny,psychology,similarity_values/512.svg
512,ChatGPT (gpt-4o),"Yes, Carl, there's a difference between 'finding your inner peace' and 'finding a piece of your living room carpet.'","Let her out, Fred.",0.13125636,Top 5 Funny,psychology,similarity_values/512.svg
512,ChatGPT (gpt-4o),"Yes, Carl, there's a difference between 'finding your inner peace' and 'finding a piece of your living room carpet.'","Look, you and I both know that doesn't fly in here.",0.18994373,Top 5 Funny,psychology,similarity_values/512.svg
512,ChatGPT (gpt-4o),"Yes, Carl, there's a difference between 'finding your inner peace' and 'finding a piece of your living room carpet.'",The rug can stay but those tube socks have got to go.,0.15985179,Top 5 Funny,psychology,similarity_values/512.svg
512,ChatGPT (gpt-4o),"Yes, Carl, there's a difference between 'finding your inner peace' and 'finding a piece of your living room carpet.'",I get it: you're angry with the donor-class Yoga establishment.,0.14696284,Top 5 Unfunny,psychology,similarity_values/512.svg
512,ChatGPT (gpt-4o),"Yes, Carl, there's a difference between 'finding your inner peace' and 'finding a piece of your living room carpet.'","We've seen a lot of newcomers inspired by the primaries ... people finding they can hold all kinds of awkward positions. But for us, size actually does matter and it's just too big.",-0.018635571,Top 5 Unfunny,psychology,similarity_values/512.svg
512,ChatGPT (gpt-4o),"Yes, Carl, there's a difference between 'finding your inner peace' and 'finding a piece of your living room carpet.'","Yes I did say to make your mat your ""home"" during class but...",0.31745672,Top 5 Unfunny,psychology,similarity_values/512.svg
512,ChatGPT (gpt-4o),"Yes, Carl, there's a difference between 'finding your inner peace' and 'finding a piece of your living room carpet.'","I'm a lumberjack too, and I don't care either!",0.14985603,Top 5 Unfunny,psychology,similarity_values/512.svg
512,Claude,Boy Scouts' Log Rolling Merit Badge Got Real Awkward Real Quick,"We're pretentious, not ostentatious.",0.023649476,Top 5 Funny,work,similarity_values/512.svg
512,Claude,Boy Scouts' Log Rolling Merit Badge Got Real Awkward Real Quick,"We're pretentious, not ostentatious.",0.023649476,Top 5 Unfunny,work,similarity_values/512.svg
512,Claude,Boy Scouts' Log Rolling Merit Badge Got Real Awkward Real Quick,Broga meets on the 2nd floor.,0.02860744,Top 5 Funny,work,similarity_values/512.svg
512,Claude,Boy Scouts' Log Rolling Merit Badge Got Real Awkward Real Quick,"Let her out, Fred.",0.028024137,Top 5 Funny,work,similarity_values/512.svg
512,Claude,Boy Scouts' Log Rolling Merit Badge Got Real Awkward Real Quick,"Look, you and I both know that doesn't fly in here.",0.08987701,Top 5 Funny,work,similarity_values/512.svg
512,Claude,Boy Scouts' Log Rolling Merit Badge Got Real Awkward Real Quick,The rug can stay but those tube socks have got to go.,0.053849626,Top 5 Funny,work,similarity_values/512.svg
512,Claude,Boy Scouts' Log Rolling Merit Badge Got Real Awkward Real Quick,I get it: you're angry with the donor-class Yoga establishment.,0.10406566,Top 5 Unfunny,work,similarity_values/512.svg
512,Claude,Boy Scouts' Log Rolling Merit Badge Got Real Awkward Real Quick,"We've seen a lot of newcomers inspired by the primaries ... people finding they can hold all kinds of awkward positions. But for us, size actually does matter and it's just too big.",0.04976722,Top 5 Unfunny,work,similarity_values/512.svg
512,Claude,Boy Scouts' Log Rolling Merit Badge Got Real Awkward Real Quick,"Yes I did say to make your mat your ""home"" during class but...",0.09386652,Top 5 Unfunny,work,similarity_values/512.svg
512,Claude,Boy Scouts' Log Rolling Merit Badge Got Real Awkward Real Quick,"I'm a lumberjack too, and I don't care either!",0.112484455,Top 5 Unfunny,work,similarity_values/512.svg
513,ChatGPT (gpt-4o),"It's not the competition I'm worried about, it's finding an outlet at the hotel.",They only allow one carry-on.,0.107887045,Top 5 Funny,sports,similarity_values/513.svg
513,ChatGPT (gpt-4o),"It's not the competition I'm worried about, it's finding an outlet at the hotel.",I want you off the case.,0.10559234,Top 5 Funny,sports,similarity_values/513.svg
513,ChatGPT (gpt-4o),"It's not the competition I'm worried about, it's finding an outlet at the hotel.",I started off where you are. And look at me now!,0.07535981,Top 5 Funny,sports,similarity_values/513.svg
513,ChatGPT (gpt-4o),"It's not the competition I'm worried about, it's finding an outlet at the hotel.",This looks like it's going to be a long drawn-out case.,0.24467842,Top 5 Funny,sports,similarity_values/513.svg
513,ChatGPT (gpt-4o),"It's not the competition I'm worried about, it's finding an outlet at the hotel.",Big case today.,0.1464287,Top 5 Funny,sports,similarity_values/513.svg
513,ChatGPT (gpt-4o),"It's not the competition I'm worried about, it's finding an outlet at the hotel.","Is it too late now to say sorry? 'Cause I'm missing more than just your body, oh.",0.08618018,Top 5 Unfunny,sports,similarity_values/513.svg
513,ChatGPT (gpt-4o),"It's not the competition I'm worried about, it's finding an outlet at the hotel.",These tandem briefcases sure make being an accountant fun!,0.17740788,Top 5 Unfunny,sports,similarity_values/513.svg
513,ChatGPT (gpt-4o),"It's not the competition I'm worried about, it's finding an outlet at the hotel.",It's not as if it's really heavy. It just makes management look like we work!,0.22540128,Top 5 Unfunny,sports,similarity_values/513.svg
513,ChatGPT (gpt-4o),"It's not the competition I'm worried about, it's finding an outlet at the hotel.",I thought he was a no good snake.,-0.04054281,Top 5 Unfunny,sports,similarity_values/513.svg
513,ChatGPT (gpt-4o),"It's not the competition I'm worried about, it's finding an outlet at the hotel.",This is my first triple-murder-case.,0.12007551,Top 5 Unfunny,sports,similarity_values/513.svg
513,Claude,"I thought you said this was an open floor plan.""

The cartoon humorously depicts businessmen in suits crammed into a small, boxy office space, contrasting with the typical vision of an open, airy modern office layout.",They only allow one carry-on.,0.1436945,Top 5 Funny,psychology,similarity_values/513.svg
513,Claude,"I thought you said this was an open floor plan.""

The cartoon humorously depicts businessmen in suits crammed into a small, boxy office space, contrasting with the typical vision of an open, airy modern office layout.",I want you off the case.,0.16818766,Top 5 Funny,psychology,similarity_values/513.svg
513,Claude,"I thought you said this was an open floor plan.""

The cartoon humorously depicts businessmen in suits crammed into a small, boxy office space, contrasting with the typical vision of an open, airy modern office layout.",I started off where you are. And look at me now!,0.06336648,Top 5 Funny,psychology,similarity_values/513.svg
513,Claude,"I thought you said this was an open floor plan.""

The cartoon humorously depicts businessmen in suits crammed into a small, boxy office space, contrasting with the typical vision of an open, airy modern office layout.",This looks like it's going to be a long drawn-out case.,0.24130471,Top 5 Funny,psychology,similarity_values/513.svg
513,Claude,"I thought you said this was an open floor plan.""

The cartoon humorously depicts businessmen in suits crammed into a small, boxy office space, contrasting with the typical vision of an open, airy modern office layout.",Big case today.,0.19225393,Top 5 Funny,psychology,similarity_values/513.svg
513,Claude,"I thought you said this was an open floor plan.""

The cartoon humorously depicts businessmen in suits crammed into a small, boxy office space, contrasting with the typical vision of an open, airy modern office layout.","Is it too late now to say sorry? 'Cause I'm missing more than just your body, oh.",-0.011899958,Top 5 Unfunny,psychology,similarity_values/513.svg
513,Claude,"I thought you said this was an open floor plan.""

The cartoon humorously depicts businessmen in suits crammed into a small, boxy office space, contrasting with the typical vision of an open, airy modern office layout.",These tandem briefcases sure make being an accountant fun!,0.2618191,Top 5 Unfunny,psychology,similarity_values/513.svg
513,Claude,"I thought you said this was an open floor plan.""

The cartoon humorously depicts businessmen in suits crammed into a small, boxy office space, contrasting with the typical vision of an open, airy modern office layout.",It's not as if it's really heavy. It just makes management look like we work!,0.27298954,Top 5 Unfunny,psychology,similarity_values/513.svg
513,Claude,"I thought you said this was an open floor plan.""

The cartoon humorously depicts businessmen in suits crammed into a small, boxy office space, contrasting with the typical vision of an open, airy modern office layout.",I thought he was a no good snake.,0.08964491,Top 5 Unfunny,psychology,similarity_values/513.svg
513,Claude,"I thought you said this was an open floor plan.""

The cartoon humorously depicts businessmen in suits crammed into a small, boxy office space, contrasting with the typical vision of an open, airy modern office layout.",This is my first triple-murder-case.,0.10350433,Top 5 Unfunny,psychology,similarity_values/513.svg
514,ChatGPT (gpt-4o),We'd catch 'em if only we'd stop bringing our horses out of retirement.,"No, you grow up",0.066632375,Top 5 Funny,animals,similarity_values/514.svg
514,ChatGPT (gpt-4o),We'd catch 'em if only we'd stop bringing our horses out of retirement.,"No, you grow up",0.066632375,Top 5 Unfunny,animals,similarity_values/514.svg
514,ChatGPT (gpt-4o),We'd catch 'em if only we'd stop bringing our horses out of retirement.,We're losing them! They're gaining on us! We're losing them! They're gaining on us!,0.35231763,Top 5 Funny,animals,similarity_values/514.svg
514,ChatGPT (gpt-4o),We'd catch 'em if only we'd stop bringing our horses out of retirement.,We're losing them! They're gaining on us! We're losing them! They're gaining on us!,0.35231763,Top 5 Unfunny,animals,similarity_values/514.svg
514,ChatGPT (gpt-4o),We'd catch 'em if only we'd stop bringing our horses out of retirement.,"Sheriff, I feel like we're just going through the motions here.",0.24426356,Top 5 Funny,animals,similarity_values/514.svg
514,ChatGPT (gpt-4o),We'd catch 'em if only we'd stop bringing our horses out of retirement.,"Sheriff, I feel like we're just going through the motions here.",0.24426356,Top 5 Unfunny,animals,similarity_values/514.svg
514,ChatGPT (gpt-4o),We'd catch 'em if only we'd stop bringing our horses out of retirement.,Head for the carousel! It's our only chance!,0.34756166,Top 5 Funny,animals,similarity_values/514.svg
514,ChatGPT (gpt-4o),We'd catch 'em if only we'd stop bringing our horses out of retirement.,Head for the carousel! It's our only chance!,0.34756166,Top 5 Unfunny,animals,similarity_values/514.svg
514,ChatGPT (gpt-4o),We'd catch 'em if only we'd stop bringing our horses out of retirement.,"I'm never going back to timeout, ya hear!?",0.10465681,Top 5 Funny,animals,similarity_values/514.svg
514,ChatGPT (gpt-4o),We'd catch 'em if only we'd stop bringing our horses out of retirement.,"I'm never going back to timeout, ya hear!?",0.10465681,Top 5 Unfunny,animals,similarity_values/514.svg
514,Claude,"So I told him, 'Hay is for horses!'","No, you grow up",0.016038707,Top 5 Funny,animals,similarity_values/514.svg
514,Claude,"So I told him, 'Hay is for horses!'","No, you grow up",0.016038707,Top 5 Unfunny,animals,similarity_values/514.svg
514,Claude,"So I told him, 'Hay is for horses!'",We're losing them! They're gaining on us! We're losing them! They're gaining on us!,0.1618011,Top 5 Funny,animals,similarity_values/514.svg
514,Claude,"So I told him, 'Hay is for horses!'",We're losing them! They're gaining on us! We're losing them! They're gaining on us!,0.1618011,Top 5 Unfunny,animals,similarity_values/514.svg
514,Claude,"So I told him, 'Hay is for horses!'","Sheriff, I feel like we're just going through the motions here.",0.13644041,Top 5 Funny,animals,similarity_values/514.svg
514,Claude,"So I told him, 'Hay is for horses!'","Sheriff, I feel like we're just going through the motions here.",0.13644041,Top 5 Unfunny,animals,similarity_values/514.svg
514,Claude,"So I told him, 'Hay is for horses!'",Head for the carousel! It's our only chance!,0.08100806,Top 5 Funny,animals,similarity_values/514.svg
514,Claude,"So I told him, 'Hay is for horses!'",Head for the carousel! It's our only chance!,0.08100806,Top 5 Unfunny,animals,similarity_values/514.svg
514,Claude,"So I told him, 'Hay is for horses!'","I'm never going back to timeout, ya hear!?",-0.0008040173,Top 5 Funny,animals,similarity_values/514.svg
514,Claude,"So I told him, 'Hay is for horses!'","I'm never going back to timeout, ya hear!?",-0.0008040173,Top 5 Unfunny,animals,similarity_values/514.svg
515,ChatGPT (gpt-4o),"On the bright side, we always get a seat on the D train.",I'm afraid we're out of time.,0.15793613,Top 5 Funny,technology,similarity_values/515.svg
515,ChatGPT (gpt-4o),"On the bright side, we always get a seat on the D train.",I can see our time is up.,0.23784442,Top 5 Funny,technology,similarity_values/515.svg
515,ChatGPT (gpt-4o),"On the bright side, we always get a seat on the D train.",You're my last patient of the day.,0.18649097,Top 5 Funny,technology,similarity_values/515.svg
515,ChatGPT (gpt-4o),"On the bright side, we always get a seat on the D train.","Well, it appears our time is up.",0.20177881,Top 5 Funny,technology,similarity_values/515.svg
515,ChatGPT (gpt-4o),"On the bright side, we always get a seat on the D train.",I see that our time is up.,0.24488828,Top 5 Funny,technology,similarity_values/515.svg
515,ChatGPT (gpt-4o),"On the bright side, we always get a seat on the D train.","I am growing inured to planes, trains, and automobiles.",0.2182183,Top 5 Unfunny,technology,similarity_values/515.svg
515,ChatGPT (gpt-4o),"On the bright side, we always get a seat on the D train.",Remember the time we had to jump off a trestle and only suffered a broken nose.,0.2819437,Top 5 Unfunny,technology,similarity_values/515.svg
515,ChatGPT (gpt-4o),"On the bright side, we always get a seat on the D train.",Who says NFL players have a problem with foreseeable consequences?,0.10258572,Top 5 Unfunny,technology,similarity_values/515.svg
515,ChatGPT (gpt-4o),"On the bright side, we always get a seat on the D train.",I have this recurring dream of a train with wheels on only one side.,0.4504094,Top 5 Unfunny,technology,similarity_values/515.svg
515,ChatGPT (gpt-4o),"On the bright side, we always get a seat on the D train.",We need to think about a better retirement plan.,0.17272279,Top 5 Unfunny,technology,similarity_values/515.svg
515,Claude,"All aboard! Next stop, anywhere but here...as long as it's within walking distance.""

The cartoon cleverly depicts passengers waiting at a tiny subway platform, dreaming of escape and adventure, but ironically limited by the short range of this miniature train system.",I'm afraid we're out of time.,0.18405877,Top 5 Funny,psychology,similarity_values/515.svg
515,Claude,"All aboard! Next stop, anywhere but here...as long as it's within walking distance.""

The cartoon cleverly depicts passengers waiting at a tiny subway platform, dreaming of escape and adventure, but ironically limited by the short range of this miniature train system.",I can see our time is up.,0.22510388,Top 5 Funny,psychology,similarity_values/515.svg
515,Claude,"All aboard! Next stop, anywhere but here...as long as it's within walking distance.""

The cartoon cleverly depicts passengers waiting at a tiny subway platform, dreaming of escape and adventure, but ironically limited by the short range of this miniature train system.",You're my last patient of the day.,0.1510306,Top 5 Funny,psychology,similarity_values/515.svg
515,Claude,"All aboard! Next stop, anywhere but here...as long as it's within walking distance.""

The cartoon cleverly depicts passengers waiting at a tiny subway platform, dreaming of escape and adventure, but ironically limited by the short range of this miniature train system.","Well, it appears our time is up.",0.16017476,Top 5 Funny,psychology,similarity_values/515.svg
515,Claude,"All aboard! Next stop, anywhere but here...as long as it's within walking distance.""

The cartoon cleverly depicts passengers waiting at a tiny subway platform, dreaming of escape and adventure, but ironically limited by the short range of this miniature train system.",I see that our time is up.,0.18385701,Top 5 Funny,psychology,similarity_values/515.svg
515,Claude,"All aboard! Next stop, anywhere but here...as long as it's within walking distance.""

The cartoon cleverly depicts passengers waiting at a tiny subway platform, dreaming of escape and adventure, but ironically limited by the short range of this miniature train system.","I am growing inured to planes, trains, and automobiles.",0.1936938,Top 5 Unfunny,psychology,similarity_values/515.svg
515,Claude,"All aboard! Next stop, anywhere but here...as long as it's within walking distance.""

The cartoon cleverly depicts passengers waiting at a tiny subway platform, dreaming of escape and adventure, but ironically limited by the short range of this miniature train system.",Remember the time we had to jump off a trestle and only suffered a broken nose.,0.15250853,Top 5 Unfunny,psychology,similarity_values/515.svg
515,Claude,"All aboard! Next stop, anywhere but here...as long as it's within walking distance.""

The cartoon cleverly depicts passengers waiting at a tiny subway platform, dreaming of escape and adventure, but ironically limited by the short range of this miniature train system.",Who says NFL players have a problem with foreseeable consequences?,0.033599094,Top 5 Unfunny,psychology,similarity_values/515.svg
515,Claude,"All aboard! Next stop, anywhere but here...as long as it's within walking distance.""

The cartoon cleverly depicts passengers waiting at a tiny subway platform, dreaming of escape and adventure, but ironically limited by the short range of this miniature train system.",I have this recurring dream of a train with wheels on only one side.,0.3785356,Top 5 Unfunny,psychology,similarity_values/515.svg
515,Claude,"All aboard! Next stop, anywhere but here...as long as it's within walking distance.""

The cartoon cleverly depicts passengers waiting at a tiny subway platform, dreaming of escape and adventure, but ironically limited by the short range of this miniature train system.",We need to think about a better retirement plan.,0.121739015,Top 5 Unfunny,psychology,similarity_values/515.svg
516,ChatGPT (gpt-4o),"First, they took our newspapers. Now, they’ve taken our neck flexibility.",How many lumps did you say you wanted again?,0.068971455,Top 5 Funny,work,similarity_values/516.svg
516,ChatGPT (gpt-4o),"First, they took our newspapers. Now, they’ve taken our neck flexibility.","Joe, do you understand the gravity of the situation?",0.18234262,Top 5 Funny,work,similarity_values/516.svg
516,ChatGPT (gpt-4o),"First, they took our newspapers. Now, they’ve taken our neck flexibility.",If I am lying then let God strike me dead!,0.059903003,Top 5 Funny,work,similarity_values/516.svg
516,ChatGPT (gpt-4o),"First, they took our newspapers. Now, they’ve taken our neck flexibility.",I'm told the coffee here is to die for.,0.13077539,Top 5 Funny,work,similarity_values/516.svg
516,ChatGPT (gpt-4o),"First, they took our newspapers. Now, they’ve taken our neck flexibility.",You know that artificial sweetener will kill ya.,0.043204606,Top 5 Funny,work,similarity_values/516.svg
516,ChatGPT (gpt-4o),"First, they took our newspapers. Now, they’ve taken our neck flexibility.",Do you think I need to post a new Tinder photo?,-0.02185354,Top 5 Unfunny,work,similarity_values/516.svg
516,ChatGPT (gpt-4o),"First, they took our newspapers. Now, they’ve taken our neck flexibility.","On second thought, don't buy. Sell.",0.0891715,Top 5 Unfunny,work,similarity_values/516.svg
516,ChatGPT (gpt-4o),"First, they took our newspapers. Now, they’ve taken our neck flexibility.",What I especially like about this place is how chockablock it is with surprises.,0.059386093,Top 5 Unfunny,work,similarity_values/516.svg
516,ChatGPT (gpt-4o),"First, they took our newspapers. Now, they’ve taken our neck flexibility.","Well, we meet for coffee to discuss my career path.",0.10044443,Top 5 Unfunny,work,similarity_values/516.svg
516,ChatGPT (gpt-4o),"First, they took our newspapers. Now, they’ve taken our neck flexibility.",Looks like you picked the wrong day to quit drinking coffee!,0.13269348,Top 5 Unfunny,work,similarity_values/516.svg
516,Claude,The lunch rush at the NSA commissary is always a madhouse - good luck finding a table that isn't bugged!,How many lumps did you say you wanted again?,0.035324447,Top 5 Funny,technology,similarity_values/516.svg
516,Claude,The lunch rush at the NSA commissary is always a madhouse - good luck finding a table that isn't bugged!,"Joe, do you understand the gravity of the situation?",0.058611013,Top 5 Funny,technology,similarity_values/516.svg
516,Claude,The lunch rush at the NSA commissary is always a madhouse - good luck finding a table that isn't bugged!,If I am lying then let God strike me dead!,0.092073135,Top 5 Funny,technology,similarity_values/516.svg
516,Claude,The lunch rush at the NSA commissary is always a madhouse - good luck finding a table that isn't bugged!,I'm told the coffee here is to die for.,0.06312518,Top 5 Funny,technology,similarity_values/516.svg
