contest,caption,model,has_question_mark,ends_with_punctuation,caption_length,funny_votes,unfunny_votes,votes,category,source
519,If he hadn't lost his camel he would have made it by now,Human,False,False,56,0,23,23,Top 5 Unfunny,human
519,We might be empty nesters sooner than we thought.,Human,False,True,49,8,6,20,Top 5 Funny,human
519,This may be his final tweet.,Human,False,True,28,8,7,19,Top 5 Funny,human
519,She always insists on riding shotgun.,Human,False,True,37,8,10,21,Top 5 Funny,human
519,"I think we're safe, it's Dick Cheney.",Human,False,True,37,8,10,23,Top 5 Funny,human
519,The bird on a gun is worth two birds on a limb!,Human,False,True,47,0,23,23,Top 5 Unfunny,human
519,"whistle while you work, indeed.",Human,False,True,31,0,23,23,Top 5 Unfunny,human
519,He's obviously prey. Let's eat him.,Human,False,True,35,0,23,23,Top 5 Unfunny,human
519,"Same decoy as last year. Honestly, I don't known why he bothers.",Human,False,True,64,8,8,21,Top 5 Funny,human
519,What's up with all the kids doing 'slack gun' these days?,Human,True,True,57,0,23,23,Top 5 Unfunny,human
520,It's normal to feel empty after a split.,Human,False,True,40,228,272,785,Top 5 Unfunny,human
520,"I have to ask, do you feel that you could be a danger to others?",Human,True,True,64,235,190,744,Top 5 Unfunny,human
520,Would you feel more comfortable on the floor ?,Human,True,True,46,137,173,491,Top 5 Unfunny,human
520,You say you've been feeling empty since the split?,Human,True,True,50,83,140,320,Top 5 Unfunny,human
520,"Now that you've opened up, let's talk about what's eating you.",Human,False,True,62,738,631,2227,Top 5 Unfunny,human
520,You say you've been feeling empty since the split?,Human,True,True,50,83,140,320,Top 5 Funny,human
520,It's normal to feel empty after a split.,Human,False,True,40,228,272,785,Top 5 Funny,human
520,"I have to ask, do you feel that you could be a danger to others?",Human,True,True,64,235,190,744,Top 5 Funny,human
520,"Now that you've opened up, let's talk about what's eating you.",Human,False,True,62,738,631,2227,Top 5 Funny,human
520,Would you feel more comfortable on the floor ?,Human,True,True,46,137,173,491,Top 5 Funny,human
521,I'm in the Wetness Protection Program.,Human,False,True,38,89,156,370,Top 5 Unfunny,human
521,I doubled my contribution to PBS.,Human,False,True,33,67,134,309,Top 5 Unfunny,human
521,"Well, I thought your mother was joining us...",Human,False,True,45,171,259,654,Top 5 Unfunny,human
521,Go and check if it's still raining. I'll wait here.,Human,False,True,51,540,514,1936,Top 5 Unfunny,human
521,I doubled my contribution to PBS.,Human,False,True,33,67,134,309,Top 5 Funny,human
521,I'm in the Wetness Protection Program.,Human,False,True,38,89,156,370,Top 5 Funny,human
521,I thought your mother was joining us.,Human,False,True,37,134,209,486,Top 5 Funny,human
521,"Well, I thought your mother was joining us...",Human,False,True,45,171,259,654,Top 5 Funny,human
521,Go and check if it's still raining. I'll wait here.,Human,False,True,51,540,514,1936,Top 5 Funny,human
521,I thought your mother was joining us.,Human,False,True,37,134,209,486,Top 5 Unfunny,human
522,Have you tried turning it off and back on again?,Human,True,True,48,1008,1439,4197,Top 5 Funny,human
522,"Yes sir, a martini for you and a screwdriver for the monster.",Human,False,True,61,542,1040,2445,Top 5 Funny,human
522,"Yes, my license says I'm an organ donor....why do you ask?",Human,True,True,58,247,606,1386,Top 5 Unfunny,human
522,"Do you still need a hand, Sir?",Human,True,True,30,295,646,1445,Top 5 Funny,human
522,the mrs. requests you come upstairs and try creating life the old fashioned way,Human,False,False,79,255,577,1229,Top 5 Funny,human
522,"Yes, my license says I'm an organ donor....why do you ask?",Human,True,True,58,247,606,1386,Top 5 Funny,human
522,the mrs. requests you come upstairs and try creating life the old fashioned way,Human,False,False,79,255,577,1229,Top 5 Unfunny,human
522,"Yes sir, a martini for you and a screwdriver for the monster.",Human,False,True,61,542,1040,2445,Top 5 Unfunny,human
522,"Do you still need a hand, Sir?",Human,True,True,30,295,646,1445,Top 5 Unfunny,human
522,Have you tried turning it off and back on again?,Human,True,True,48,1008,1439,4197,Top 5 Unfunny,human
523,I think I ordered from the wrong Amazon.,Human,False,True,40,157,273,610,Top 5 Funny,human
523,Can we have one argument without you bringing up the monkeys?,Human,True,True,61,112,234,487,Top 5 Funny,human
523,You ordered from the wrong Amazon.,Human,False,True,34,602,848,2260,Top 5 Unfunny,human
523,Then maybe you should just tell me what you want for your birthday instead of saying you don't care.,Human,False,True,100,216,374,871,Top 5 Unfunny,human
523,I think I ordered from the wrong Amazon.,Human,False,True,40,157,273,610,Top 5 Unfunny,human
523,Then maybe you should just tell me what you want for your birthday instead of saying you don't care.,Human,False,True,100,216,374,871,Top 5 Funny,human
523,I don't mind the monkey see as much as the monkey doo.,Human,False,True,54,124,263,594,Top 5 Unfunny,human
523,I'll tell you what could be more fun--a barrel of wine.,Human,False,True,55,111,238,521,Top 5 Unfunny,human
523,You ordered from the wrong Amazon.,Human,False,True,34,602,848,2260,Top 5 Funny,human
523,I don't mind the monkey see as much as the monkey doo.,Human,False,True,54,124,263,594,Top 5 Funny,human
524,Did your momma tell you there would be knights like this?,Human,True,True,57,37,124,230,Top 5 Unfunny,human
524,"Take the picture, dammit, take the picture!",Human,False,True,43,83,174,360,Top 5 Funny,human
524,This seems to be a case of reptile dysfunction.,Human,False,True,47,44,121,227,Top 5 Unfunny,human
524,Are you licensed to carry small arms?,Human,True,True,37,49,147,288,Top 5 Unfunny,human
524,Harry has his usual dream before his mother-in-law's visit.,Human,False,True,59,49,152,282,Top 5 Unfunny,human
524,"Take the picture, dammit, take the picture!",Human,False,True,43,83,174,360,Top 5 Unfunny,human
524,Don't give me that endangered species crap!,Human,False,True,43,41,119,223,Top 5 Funny,human
524,This seems to be a case of reptile dysfunction.,Human,False,True,47,44,121,227,Top 5 Funny,human
524,Harry has his usual dream before his mother-in-law's visit.,Human,False,True,59,49,152,282,Top 5 Funny,human
524,Are you licensed to carry small arms?,Human,True,True,37,49,147,288,Top 5 Funny,human
526,Remember all those times you said I was wrong?,Human,True,True,46,26,75,128,Top 5 Unfunny,human
526,Hey! My eyes are down here.,Human,False,True,27,45,81,173,Top 5 Unfunny,human
526,It was autocorrected to 'hula.',Human,False,False,31,39,82,141,Top 5 Unfunny,human
526,"I don't mean to sing my praises, but ...",Human,False,True,40,11,141,169,Top 5 Unfunny,human
526,"Excuse me, Miss, my eyes are down here.",Human,False,True,39,34,69,147,Top 5 Funny,human
526,My eyes are down here.,Human,False,True,22,38,77,148,Top 5 Funny,human
526,It was autocorrected to 'hula.',Human,False,False,31,39,82,141,Top 5 Funny,human
526,"It autocorrected to ""hula"".",Human,False,True,27,39,73,143,Top 5 Funny,human
526,Hey! My eyes are down here.,Human,False,True,27,45,81,173,Top 5 Funny,human
526,My eyes are down here.,Human,False,True,22,38,77,148,Top 5 Unfunny,human
527,Your cows speak highly of you.,Human,False,True,30,30,76,136,Top 5 Unfunny,human
527,We have observed you in the barn. So many questions.,Human,False,True,52,34,73,133,Top 5 Funny,human
527,"Greetings, and let go of my penis.",Human,False,True,34,36,81,136,Top 5 Unfunny,human
527,"Well, I never believed in you either.",Human,False,True,37,39,82,154,Top 5 Unfunny,human
527,"Greetings, and let go of my penis.",Human,False,True,34,36,81,136,Top 5 Funny,human
527,"Well, your profile pic doesn't look much like you either.",Human,False,True,57,39,80,175,Top 5 Unfunny,human
527,"Well, I never believed in you either.",Human,False,True,37,39,82,154,Top 5 Funny,human
527,"Well, your profile pic doesn't look much like you either.",Human,False,True,57,39,80,175,Top 5 Funny,human
527,"Welcome aboard! First stop, Uranus.",Human,False,True,35,30,76,131,Top 5 Unfunny,human
527,"You voted ‘Leave,’ didn’t you?",Human,True,True,30,38,74,150,Top 5 Funny,human
528,Welcome to Weight Watchers!,Human,False,True,27,10,25,42,Top 5 Funny,human
528,This meeting is getting away from me.,Human,False,True,37,8,22,37,Top 5 Funny,human
528,I am entertaining a motion to evacuate. Do I hear a second?,Human,True,True,59,7,23,42,Top 5 Funny,human
528,The captain assures me it was a very small iceberg.,Human,False,True,51,7,23,39,Top 5 Funny,human
528,I don't think you understand the gravity of the situation.,Human,False,True,58,7,24,39,Top 5 Funny,human
528,Welcome to Weight Watchers!,Human,False,True,27,10,25,42,Top 5 Unfunny,human
528,I don't think you understand the gravity of the situation.,Human,False,True,58,7,24,39,Top 5 Unfunny,human
528,"So, then -- all in favor of removing the wheels from our chairs, say 'aye.'d",Human,False,False,76,6,24,35,Top 5 Unfunny,human
528,Red rover red rover send Sandi on over,Human,False,False,38,6,24,34,Top 5 Unfunny,human
528,"Well, maybe now you will appreciate the gravity of the situation.",Human,False,True,65,7,24,39,Top 5 Unfunny,human
529,Because it's not there.,Human,False,True,23,35,67,126,Top 5 Unfunny,human
529,Of course I understand the gravity of the situation.,Human,False,True,52,48,70,173,Top 5 Funny,human
529,It's easy once you realize there's nothing to it.,Human,False,True,49,43,69,166,Top 5 Funny,human
529,There's really nothing to it.,Human,False,True,29,36,64,156,Top 5 Funny,human
529,"See, there's nothing to it.",Human,False,True,27,35,67,144,Top 5 Unfunny,human
529,"See, there's nothing to it.",Human,False,True,27,35,67,144,Top 5 Funny,human
529,Because it's not there.,Human,False,True,23,35,67,126,Top 5 Funny,human
529,Of course I understand the gravity of the situation.,Human,False,True,52,48,70,173,Top 5 Unfunny,human
529,It's easy once you realize there's nothing to it.,Human,False,True,49,43,69,166,Top 5 Unfunny,human
529,I'm suspended by disbelief.,Human,False,True,27,34,68,152,Top 5 Unfunny,human
530,May I suggest that we dispense with today's reading of the royal horoscope?,Human,True,True,75,24,99,172,Top 5 Unfunny,human
530,Your overhead is going to kill you.,Human,False,True,35,66,114,273,Top 5 Funny,human
530,The consensus of your wise men is: move the chair.,Human,False,True,50,46,99,228,Top 5 Funny,human
530,And the king lived happily severed after.,Human,False,True,41,37,90,191,Top 5 Funny,human
530,While I have your undivided attention...,Human,False,True,40,37,95,180,Top 5 Funny,human
530,"According to the doctor, your longevity would improve dramatically if you'd get off the throne and walk more.",Human,False,True,109,36,88,220,Top 5 Funny,human
530,Your overhead is going to kill you.,Human,False,True,35,66,114,273,Top 5 Unfunny,human
530,The consensus of your wise men is: move the chair.,Human,False,True,50,46,99,228,Top 5 Unfunny,human
530,While I have your undivided attention...,Human,False,True,40,37,95,180,Top 5 Unfunny,human
530,"Yes, your majesty. So far we have 'Live by the sword'. Is there any more to it?",Human,True,True,79,36,94,191,Top 5 Unfunny,human
531,Sorry I'm late. I hit every traffic light coming home.,Human,False,True,54,2192,1285,5246,Top 5 Funny,human
531,Let's stay in tonight. It's a zoo out there.,Human,False,True,44,862,564,1721,Top 5 Funny,human
531,"If he's elected, we're going to have a tough time proving we weren't born in Africa.",Human,False,True,84,309,461,1077,Top 5 Funny,human
531,"I wasn't impressed with the ark on the outside, but this is nice.",Human,False,True,65,278,430,1050,Top 5 Funny,human
531,"Yes, it's hot. But a ceiling fan will only make things worse.",Human,False,True,61,277,429,1054,Top 5 Funny,human
531,Sorry I'm late. I hit every traffic light coming home.,Human,False,True,54,2192,1285,5246,Top 5 Unfunny,human
531,Let's stay in tonight. It's a zoo out there.,Human,False,True,44,862,564,1721,Top 5 Unfunny,human
531,"If he's elected, we're going to have a tough time proving we weren't born in Africa.",Human,False,True,84,309,461,1077,Top 5 Unfunny,human
531,"I wasn't impressed with the ark on the outside, but this is nice.",Human,False,True,65,278,430,1050,Top 5 Unfunny,human
531,"Yes, it's hot. But a ceiling fan will only make things worse.",Human,False,True,61,277,429,1054,Top 5 Unfunny,human
532,"Sorry, totally thought I could jump it.",Human,False,True,39,47,209,328,Top 5 Unfunny,human
532,"Yeah, well your profile wasn't exactly honest either.",Human,False,True,53,65,250,444,Top 5 Unfunny,human
532,Sorry...I was texting.,Human,False,True,22,81,268,456,Top 5 Unfunny,human
532,They were never going to find you anyway,Human,False,False,40,82,272,477,Top 5 Unfunny,human
532,Who's endangered now?,Human,True,True,21,130,348,686,Top 5 Unfunny,human
532,"I ain't heavy, I'm your blubber.",Human,False,True,32,49,208,315,Top 5 Funny,human
532,"Yeah, well your profile wasn't exactly honest either.",Human,False,True,53,65,250,444,Top 5 Funny,human
532,Sorry...I was texting.,Human,False,True,22,81,268,456,Top 5 Funny,human
532,They were never going to find you anyway,Human,False,False,40,82,272,477,Top 5 Funny,human
532,Who's endangered now?,Human,True,True,21,130,348,686,Top 5 Funny,human
533,"Sorry for the wait, but it's been like Grand Central Station in here.",Human,False,True,69,63,126,270,Top 5 Unfunny,human
533,Before this I was a bus-boy.,Human,False,True,28,65,128,267,Top 5 Unfunny,human
533,Our chef trained at the Paris Metro.,Human,False,True,36,69,130,292,Top 5 Unfunny,human
533,"The restroom is located just behind you, sir.",Human,False,True,45,67,131,253,Top 5 Unfunny,human
533,"If you see something, say something.",Human,False,True,36,193,226,491,Top 5 Unfunny,human
533,"Sorry for the wait, but it's been like Grand Central Station in here.",Human,False,True,69,63,126,270,Top 5 Funny,human
533,Before this I was a bus-boy.,Human,False,True,28,65,128,267,Top 5 Funny,human
533,"The restroom is located just behind you, sir.",Human,False,True,45,67,131,253,Top 5 Funny,human
533,Our chef trained at the Paris Metro.,Human,False,True,36,69,130,292,Top 5 Funny,human
533,"If you see something, say something.",Human,False,True,36,193,226,491,Top 5 Funny,human
534,Anywhere but Eve's office.,Human,False,True,26,142,246,530,Top 5 Funny,human
534,It's a pet of the one-armed guy 9 back who is carrying it to the shredder.,Human,False,True,74,114,219,348,Top 5 Funny,human
534,Speak softly and carry a big fish.,Human,False,True,34,100,206,384,Top 5 Funny,human
534,"Looks like Sammy wins the ""bring your pet to work"" contest. He ate all of the other entries!",Human,False,True,92,191,293,607,Top 5 Unfunny,human
534,Anywhere but Eve's office.,Human,False,True,26,142,246,530,Top 5 Unfunny,human
534,We're searching for rats that escaped from the subway's Track 23 dining room kitchen.,Human,False,True,85,129,235,400,Top 5 Unfunny,human
534,It's a pet of the one-armed guy 9 back who is carrying it to the shredder.,Human,False,True,74,114,219,348,Top 5 Unfunny,human
534,Speak softly and carry a big fish.,Human,False,True,34,100,206,384,Top 5 Unfunny,human
534,We're searching for rats that escaped from the subway's Track 23 dining room kitchen.,Human,False,True,85,129,235,400,Top 5 Funny,human
534,"Looks like Sammy wins the ""bring your pet to work"" contest. He ate all of the other entries!",Human,False,True,92,191,293,607,Top 5 Funny,human
535,"Yes, I love him. I'll always love him. I'm just saying I still think the hospital switched him at birth.",Human,False,True,104,129,207,437,Top 5 Unfunny,human
535,Of course I knew I was marrying a mermaid. I just didn't expect to live with my mother-in-law too.,Human,False,True,98,156,228,512,Top 5 Unfunny,human
535,"I'll bet that last restaurant will never have ""All You Can Eat Shrimp"" on their lunch menu again.",Human,False,True,97,151,228,448,Top 5 Unfunny,human
535,You and your surfaris.,Human,False,True,22,573,552,1171,Top 5 Funny,human
535,I just couldn't 'catch and release because who would've believed such a whale of a tale?,Human,True,True,88,191,261,539,Top 5 Funny,human
535,Of course I knew I was marrying a mermaid. I just didn't expect to live with my mother-in-law too.,Human,False,True,98,156,228,512,Top 5 Funny,human
535,"I'll bet that last restaurant will never have ""All You Can Eat Shrimp"" on their lunch menu again.",Human,False,True,97,151,228,448,Top 5 Funny,human
535,"Yes, I love him. I'll always love him. I'm just saying I still think the hospital switched him at birth.",Human,False,True,104,129,207,437,Top 5 Funny,human
535,You and your surfaris.,Human,False,True,22,573,552,1171,Top 5 Unfunny,human
535,I just couldn't 'catch and release because who would've believed such a whale of a tale?,Human,True,True,88,191,261,539,Top 5 Unfunny,human
536,Sometimes a dipstick is just a dipstick.,Human,False,True,40,1512,827,2614,Top 5 Funny,human
536,"The impotence, that feeling of being out of control when you find yourself parallel parking against your will, probably started when you were being assembled.",Human,False,True,158,98,145,261,Top 5 Funny,human
536,I'd like to see you again in two thousand miles.,Human,False,True,48,59,108,247,Top 5 Funny,human
536,"I'm afraid we're out of time, but I'd like to see you again in 5,000 miles …",Human,False,False,76,45,98,202,Top 5 Funny,human
536,"The impotence, that feeling of being out of control when you find yourself parallel parking against your will, probably started when you were being assembled.",Human,False,True,158,98,145,261,Top 5 Unfunny,human
536,Sometimes a dipstick is just a dipstick.,Human,False,True,40,1512,827,2614,Top 5 Unfunny,human
536,I'd like to see you again in two thousand miles.,Human,False,True,48,59,108,247,Top 5 Unfunny,human
536,So you're no longer attending your AAA meetings?,Human,True,True,48,44,99,191,Top 5 Unfunny,human
536,And are the clowns inside you now?,Human,True,True,34,45,99,181,Top 5 Unfunny,human
536,And are the clowns inside you now?,Human,True,True,34,45,99,181,Top 5 Funny,human
537,He told me that the patent expired.,Human,False,True,35,160,345,640,Top 5 Funny,human
537,He says the guy with the original idea never took out a patent!,Human,False,True,63,195,387,711,Top 5 Funny,human
537,He said the patent expired,Human,False,False,26,300,505,990,Top 5 Funny,human
537,He is making a life preserver for my Mother.,Human,False,True,44,163,352,692,Top 5 Funny,human
537,I hope he discovers fire soon. Dinner is at six.,Human,False,True,48,145,334,692,Top 5 Funny,human
537,I hope he discovers fire soon. Dinner is at six.,Human,False,True,48,145,334,692,Top 5 Unfunny,human
537,He says the guy with the original idea never took out a patent!,Human,False,True,63,195,387,711,Top 5 Unfunny,human
537,He is making a life preserver for my Mother.,Human,False,True,44,163,352,692,Top 5 Unfunny,human
537,He told me that the patent expired.,Human,False,True,35,160,345,640,Top 5 Unfunny,human
537,He said the patent expired,Human,False,False,26,300,505,990,Top 5 Unfunny,human
538,"First of all, I'd like to apologize for the whole laser light thing.",Human,False,True,68,223,447,999,Top 5 Unfunny,human
538,I'm not a big cat person.,Human,False,True,25,545,600,1731,Top 5 Funny,human
538,Think it over. I'm still the only one here who can use a can opener.,Human,False,True,68,488,566,1685,Top 5 Funny,human
538,"I may be a little prick, but at least I'm not a giant pussy.",Human,False,True,60,233,452,910,Top 5 Funny,human
538,"In my defense, the neutering was a requirement of the condo board.",Human,False,True,66,231,460,1069,Top 5 Funny,human
538,"First of all, I'd like to apologize for the whole laser light thing.",Human,False,True,68,223,447,999,Top 5 Funny,human
538,I'm not a big cat person.,Human,False,True,25,545,600,1731,Top 5 Unfunny,human
538,Think it over. I'm still the only one here who can use a can opener.,Human,False,True,68,488,566,1685,Top 5 Unfunny,human
538,"In my defense, the neutering was a requirement of the condo board.",Human,False,True,66,231,460,1069,Top 5 Unfunny,human
538,"I may be a little prick, but at least I'm not a giant pussy.",Human,False,True,60,233,452,910,Top 5 Unfunny,human
539,"Thank God. For a moment there, I thought he was going to jump!",Human,False,True,62,95,246,463,Top 5 Funny,human
539,He doesn't seem to appreciate the gravity of his situation.,Human,False,True,59,89,238,440,Top 5 Unfunny,human
539,"Wait, the GPS is recalculating",Human,False,False,30,136,291,681,Top 5 Funny,human
539,Now THAT'S the road less traveled!,Human,False,True,34,117,280,646,Top 5 Funny,human
539,He doesn't seem to appreciate the gravity of his situation.,Human,False,True,59,89,238,440,Top 5 Funny,human
539,I don't think he realizes the gravity of the situation.,Human,False,True,55,176,326,746,Top 5 Unfunny,human
539,"Wait, the GPS is recalculating",Human,False,False,30,136,291,681,Top 5 Unfunny,human
539,Now THAT'S the road less traveled!,Human,False,True,34,117,280,646,Top 5 Unfunny,human
539,"Thank God. For a moment there, I thought he was going to jump!",Human,False,True,62,95,246,463,Top 5 Unfunny,human
539,I don't think he realizes the gravity of the situation.,Human,False,True,55,176,326,746,Top 5 Funny,human
540,"It's safe to say, it's not your heart this time.",Human,False,True,48,3,122,133,Top 5 Unfunny,human
